"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"J2,J3,J4,J5,J7,J8";"PinHeader_1x01_P2.54mm_Vertical";6;"Conn_01x01_Male";;;
2;"J6";"PinHeader_1x01_P2.54mm_Vertical";1;"GND";;;
3;"J12,J10,J9";"SolderWirePad_1x01_SMD_1x2mm";3;"Conn_01x01_Male";;;
4;"DS1";"PinHeader_1x16_P2.54mm_Vertical";1;"WC1602A";;;
5;"D8,D7,D6,D4,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";5;"1N4007";;;
6;"R49,R48,R47,R46,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R17,R15,R13,R12,R11,R10,R9,R6,R5,R4,R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";27;"1K";;;
7;"R45,R44";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";2;"100K";;;
8;"R43,R18,R16,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";5;"100";;;
9;"R42,R41,R40,R39,R38,R37,R36,R35,R34,R33,R32,R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";12;"20K";;;
10;"R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"5K";;;
11;"R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"1.5K";;;
12;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"10K";;;
13;"Q19,Q18,Q17,Q16,Q14,Q11,Q5,Q3,Q1";"TO-92_Inline_Wide";9;"BC547";;;
14;"Y1";"Crystal_HC49-4H_Vertical";1;"8M";;;
15;"U9";"DIP-16_W7.62mm";1;"74HC595";;;
16;"U7";"DIP-8_W7.62mm";1;"NE5532";;;
17;"U6";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
18;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
19;"U4";"DIP-14_W7.62mm";1;"TL084";;;
20;"U3";"TO-220-3_Vertical";1;"LM7805_TO220";;;
21;"U2";"TO-263-5_TabPin3";1;"LM2596S-5";;;
22;"Q23,Q21";"TO-92_Inline_Wide";2;"S8550";;;
23;"Q22,Q20";"TO-92_Inline_Wide";2;"S8050";;;
24;"Q15,Q13,Q12,Q6,Q4,Q2";"TO-92_Inline_Wide";6;"BC557";;;
25;"Q10,Q9,Q8,Q7";"TO-252-2";4;"KIA50N03";;;
26;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07P";1;"100UH";;;
27;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
28;"J1";"PinHeader_1x01_P2.54mm_Vertical";1;"+12";;;
29;"D5,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
30;"D2";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5822";;;
31;"C26,C17,C11,C10,C8,C6,C5,C4";"C_Disc_D3.0mm_W2.0mm_P2.50mm";8;"104";;;
32;"C21,C20";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"102";;;
33;"C19,C18,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"105";;;
34;"C15,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22PF";;;
35;"C13,C7";"CP_Radial_D10.0mm_P3.50mm";2;"1000UF";;;
36;"C12";"CP_Radial_D10.0mm_P3.50mm";1;"100UF";;;
37;"C3,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"106";;;
