"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"R31,R30,R29,R26,R10,R9,R7,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1K";;;
2;"R28,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"100K";;;
3;"R25,R24,R23,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"100";;;
4;"R22,R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R6,R5,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";15;"20K";;;
5;"R4,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10K";;;
6;"J13,J12,J9";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Male";;;
7;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHZ";;;
8;"U8,U2";"DIP-8_W7.62mm";2;"NE5532";;;
9;"U7,U6";"DIP-14_W7.62mm";2;"TL084";;;
10;"U4";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
11;"U3";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
12;"U1";"TO-220-3_Vertical";1;"LM317_TO-220";;;
13;"Q4,Q2";"TO-92_Inline";2;"S8550";;;
14;"Q3,Q1";"TO-92_Inline";2;"S8050";;;
15;"L9";"L_Taiyo-Yuden_MD-5050";1;"47uH";;;
16;"J11,J6,J5,J4,J3,J2,J1";"PinHeader_1x01_P2.54mm_Vertical";7;"Conn_01x01_Male";;;
17;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
18;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
19;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
20;"C24,C23,C19,C18,C17,C16,C15,C14,C12,C8,C7,C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";12;"104";;;
21;"C22,C21";"C_Disc_D7.5mm_W5.0mm_P10.00mm";2;"102";;;
22;"C20,C13,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"105";;;
23;"C6,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"20p";;;
24;"C4,C3,C1";"CP_Radial_D5.0mm_P2.00mm";3;"100uF";;;
