"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Pin_D1.0mm_L10.0mm";20;"Pin_D1.0mm_L10.0mm";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"2.25";24;"2.25";;;
3;"C45";"CP_Radial_D8.0mm_P3.80mm";1;"470UF";;;
4;"C28,C24,C37,C43,C38,C34,C33,C44,C31,C30,C26,C27,C29,C25,C22,C21,C17,C20,C23,C11,C32,C16,C8,C5,C4,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";27;"106";;;
5;"J3,J3";"PinHeader_1x01_P2.54mm_Vertical";2;"-5V";;;
6;"TR1";"Transformer_Toroid_Tapped_Horizontal_D9.0mm_Amidon-T30";1;"7 : 28";;;
7;"Q2,Q1";"TO-92_Inline";2;"S8550";;;
8;"D6,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
9;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"3.6V";;;
10;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"TestPoint_Pad_D1.5mm";22;"TestPoint_Pad_D1.5mm";;;
11;"J2,J2";"PinHeader_1x01_P2.54mm_Vertical";2;"5V";;;
12;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";19;"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";;;
13;"D1,D4,D3,D2";"D_SMA";4;"1N4148";;;
14;"REF**,REF**";"TestPoint_Pad_2.0x2.0mm";2;"TestPoint_Pad_2.0x2.0mm";;;
15;"J1,J1";"PinHeader_1x01_P2.54mm_Vertical";2;"sin";;;
16;"REF**";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
17;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
18;"DS1";"PinHeader_1x16_P2.54mm_Vertical";1;"WC1602A";;;
19;"Y1";"Crystal_HC49-4H_Vertical";1;"8M";;;
20;"U12";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
21;"U11";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
22;"U10,U5,U4,U1";"SOP-8_3.9x4.9mm_P1.27mm";4;"MC4580G-S08-R";;;
23;"U8,U2";"TSSOP-16_4.4x5mm_P0.65mm";2;"74HC4053PW,112";;;
24;"U9";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
25;"U7";"TO-263-2";1;"LM7805_TO220";;;
26;"U6";"TO-263-5_TabPin3";1;"LM2596S-5";;;
27;"U3";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC4052PW,118";;;
28;"SW3";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"2";;;
29;"SW2";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"1";;;
30;"R4,R2,R39,R44,R34,R27,R37,R32,R7,R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"100";;;
31;"R40";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"50";;;
32;"R36,R50,R49,R48,R47,R14,R13,R42,R41,R31,R8,R12,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"10K";;;
33;"R54,R52,R51,R45,R46,R25,R23,R28,R21,R20,R30,R19,R18,R17,R16,R15,R10,R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";19;"1K";;;
34;"R53";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.5K";;;
35;"R35,R38";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"500";;;
36;"R26,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"900";;;
37;"R43";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20K";;;
38;"R24,R22,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100K";;;
39;"R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"200";;;
40;"Q5,Q4,Q3";"TO-92_Inline";3;"BC547";;;
41;"L1";"L_Radial_D6.0mm_P4.00mm";1;"47uH";;;
42;"J4";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
43;"D7";"D_SMA";1;"1N5819";;;
44;"C7,C41,C40";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"22";;;
45;"C35,C42,C36,C19,C18,C13,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"104";;;
46;"C39";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"103";;;
47;"C12,C9,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"102";;;
48;"C10,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2uF";;;
49;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"503";;;
