"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"U8";"TO-220-3_Horizontal_TabDown";1;"LM7805_TO220";;;
2;"J38,J35";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"3.3V";;;
3;"J37,J29";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"shuan_jian";;;
4;"J36,J28";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"shuai_jian1";;;
5;"J34,J23,J10,J8,J7";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";5;"5V";;;
6;"J33,J22,J12,J1";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";4;"-5V";;;
7;"J32";"Pin_D1.3mm_L11.0mm_LooseFit";1;"GND";;;
8;"J31";"Pin_D1.3mm_L11.0mm_LooseFit";1;"+9V";;;
9;"J30,J9";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"ADC";;;
10;"J27,J26";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"1.65V";;;
11;"J25,J15";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"SPWM";;;
12;"J24";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"3.3";;;
13;"J21,J6";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PB1";;;
14;"J20,J19";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA6";;;
15;"J18,J16";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA9";;;
16;"J17,J14";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA3";;;
17;"J5";"Pin_D1.3mm_L11.0mm_LooseFit";1;"Lc";;;
18;"J4";"Pin_D1.3mm_L11.0mm_LooseFit";1;"Lp";;;
19;"J3";"Pin_D1.3mm_L11.0mm_LooseFit";1;"Hp";;;
20;"J2";"Pin_D1.3mm_L11.0mm_LooseFit";1;"Hc";;;
21;"DS1";"WC1602A";1;"WC1602A";;;
22;"R16,R32,R25,R24,R26,R23,R18,R19,R11,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";10;"1K";;;
23;"C12,C8,C19,C13,C18,C25,C17,C16,C15,C5,C10,C24,C23,C21,C6,C7,C4,C3";"C_Disc_D3.0mm_W2.0mm_P2.50mm";18;"104";;;
24;"U6";"DIP-8_W7.62mm";1;"LM358";;;
25;"U5";"DIP-14_W7.62mm";1;"TL084";;;
26;"U1";"DIP-8_W7.62mm";1;"NE5532";;;
27;"R33";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"1.5K";;;
28;"R31,R30,R29,R7,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";5;"10K";;;
29;"R28,R9,R6,R5,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";5;"100";;;
30;"R27,R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"9K";;;
31;"R22,R10,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";3;"100K";;;
32;"R21,R20,R15,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";4;"20K";;;
33;"R12,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"5K";;;
34;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"150";;;
35;"C14,C11,C9";"C_Disc_D3.0mm_W2.0mm_P2.50mm";3;"102";;;
36;"Q2,Q3,Q1";"TO-92_Inline_Wide";3;"BC547";;;
37;"Y1";"Crystal_HC49-4H_Vertical";1;"8M";;;
38;"U7";"DIP-16_W7.62mm";1;"74HC595";;;
39;"U4";"DIP-16_W7.62mm";1;"CD4052B";;;
40;"U9";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
41;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
42;"U3";"DIP-16_W7.62mm";1;"CD4053B";;;
43;"U10";"TO-263-5_TabPin3";1;"LM2596S-5";;;
44;"SW2,SW1";"SW_PUSH_6mm_H7.3mm";2;"SW_Push";;;
45;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07P";1;"47UH";;;
46;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
47;"D3,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
48;"D2";"D_SMA_Handsoldering";1;"1N5819";;;
49;"C20";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"103";;;
50;"C28";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"106";;;
51;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22PF";;;
52;"C27";"CP_Radial_D10.0mm_P3.50mm";1;"1000UF";;;
53;"C26";"CP_Radial_D10.0mm_P3.50mm";1;"100UF";;;
54;"C22";"CP_Radial_D10.0mm_P3.50mm";1;"470UF";;;
