"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"J11,J3";"Pin_D1.3mm_L11.0mm_LooseFit";2;"Hp";;;
2;"J10,J2";"Pin_D1.3mm_L11.0mm_LooseFit";2;"Hc";;;
3;"J9,J4";"Pin_D1.3mm_L11.0mm_LooseFit";2;"Lp";;;
4;"J6,J5";"Pin_D1.3mm_L11.0mm_LooseFit";2;"Lc";;;
5;"U8";"TO-220-3_Vertical";1;"LM7805_TO220";;;
6;"R34,R33,R23,R10,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";5;"100K";;;
7;"R19";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"200";;;
8;"C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"105";;;
9;"J12,J38";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"3.3V";;;
10;"J40,J33";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"shuan_jian";;;
11;"J39,J32";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"shuai_jian1";;;
12;"J37,J27,J15,J13,J8";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";5;"5V";;;
13;"J41,J26,J17,J1";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";4;"-5V";;;
14;"J36";"Pin_D1.3mm_L11.0mm_LooseFit";1;"GND";;;
15;"J35";"Pin_D1.3mm_L11.0mm_LooseFit";1;"+9V";;;
16;"J34,J14";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"ADC";;;
17;"J31,J30";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"1.65V";;;
18;"J29,J19";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"SPWM";;;
19;"J28";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"3.3";;;
20;"J25,J7";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PB1";;;
21;"J24,J23";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA6";;;
22;"J22,J20";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA9";;;
23;"J21,J18";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";2;"PA3";;;
24;"DS1";"WC1602A";1;"WC1602A";;;
25;"R16,R35,R26,R25,R27,R24,R18,R20,R11,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";10;"1K";;;
26;"U6";"DIP-8_W7.62mm";1;"LM358";;;
27;"U5";"DIP-14_W7.62mm";1;"TL084";;;
28;"U1";"DIP-8_W7.62mm";1;"NE5532";;;
29;"R36";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"1.5K";;;
30;"R32,R31,R30,R7,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";5;"10K";;;
31;"R29,R9,R6,R5,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";5;"100";;;
32;"R28,R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"9K";;;
33;"R22,R21,R15,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";4;"20K";;;
34;"R12,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"5K";;;
35;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"150";;;
36;"C13,C11,C9";"C_Disc_D3.0mm_W2.0mm_P2.50mm";3;"102";;;
37;"Q2,Q3,Q1";"TO-92_Inline_Wide";3;"BC547";;;
38;"C8,C18,C12,C17,C25,C16,C15,C14,C5,C10,C24,C23,C21,C6,C7,C4,C3";"C_Disc_D3.0mm_W2.0mm_P2.50mm";17;"104";;;
39;"Y1";"Crystal_HC49-4H_Vertical";1;"8M";;;
40;"U7";"DIP-16_W7.62mm";1;"74HC595";;;
41;"U4";"DIP-16_W7.62mm";1;"CD4052B";;;
42;"U9";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
43;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
44;"U3";"DIP-16_W7.62mm";1;"CD4053B";;;
45;"U10";"TO-263-5_TabPin3";1;"LM2596S-5";;;
46;"SW2,SW1";"SW_PUSH_6mm_H7.3mm";2;"SW_Push";;;
47;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07P";1;"47UH";;;
48;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
49;"D3,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
50;"D2";"D_SMA_Handsoldering";1;"1N5819";;;
51;"C19";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"103";;;
52;"C28";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"106";;;
53;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22PF";;;
54;"C27";"CP_Radial_D10.0mm_P3.50mm";1;"1000UF";;;
55;"C26";"CP_Radial_D10.0mm_P3.50mm";1;"100UF";;;
56;"C22";"CP_Radial_D10.0mm_P3.50mm";1;"470UF";;;
