"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"TestPoint_Pad_D1.5mm";22;"TestPoint_Pad_D1.5mm";;;
2;"J1,J1";"PinHeader_1x01_P2.54mm_Vertical";2;"5V";;;
3;"J2,J2";"PinHeader_1x01_P2.54mm_Vertical";2;"-5V";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";19;"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";;;
5;"D1,D4,D3,D2";"D_SMA";4;"1N4148";;;
6;"REF**,REF**";"TestPoint_Pad_2.0x2.0mm";2;"TestPoint_Pad_2.0x2.0mm";;;
7;"J7,J7";"PinHeader_1x01_P2.54mm_Vertical";2;"sin";;;
8;"REF**";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
9;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
10;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"2.25";32;"2.25";;;
11;"D14,D13,D12,D11,D10,D9,D8,D7,D5";"D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp";9;"1N4007";;;
12;"DS1";"PinHeader_1x16_P2.54mm_Vertical";1;"WC1602A";;;
13;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"PinHeader_1x01_P2.54mm_Vertical";28;"PinHeader_1x01_P2.54mm_Vertical";;;
14;"REF**,REF**,REF**,REF**";"Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork";4;"Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork";;;
