"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"2.25";30;"2.25";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";18;"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";;;
3;"J1,J1";"PinHeader_1x01_P2.54mm_Vertical";2;"5V";;;
4;"J2,J2";"PinHeader_1x01_P2.54mm_Vertical";2;"-5V";;;
5;"REF**,REF**,REF**,REF**,REF**";"Pin_D1.3mm_L11.0mm";5;"Pin_D1.3mm_L11.0mm";;;
6;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"PinHeader_1x01_P2.54mm_Vertical";28;"PinHeader_1x01_P2.54mm_Vertical";;;
7;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"TestPoint_Pad_D1.0mm";15;"TestPoint_Pad_D1.0mm";;;
8;"J3,J3";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01_Male";;;
9;"C38,C7,C44,C17,C43,C37,C36,C34,C33,C32,C30,C29,C26,C25,C24,C18,C15,C11,C9,C8,C6,C2,C1,C19,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";25;"104";;;
10;"C46,C27,C22,C31,C35,C45,C39,C21,C14,C3,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"106";;;
11;"SW2";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"2";;;
12;"SW1";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"1";;;
13;"J7,J7";"PinHeader_1x01_P2.54mm_Vertical";2;"sin";;;
14;"REF**";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
15;"DS1";"PinHeader_1x16_P2.54mm_Vertical";1;"WC1602A";;;
16;"Y1";"Crystal_HC49-4H_Vertical";1;"8M";;;
17;"U12";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4P6";;;
18;"U11";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
19;"U10,U7,U4,U1";"SOP-8_3.9x4.9mm_P1.27mm";4;"RC4580";;;
20;"U9,U2";"TSSOP-16_4.4x5mm_P0.65mm";2;"74HC4053PW,112";;;
21;"U8";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
22;"U3";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC4052PW,118";;;
23;"R52,R50,R49,R44,R43,R25,R22,R20,R19,R17,R15,R14,R10,R7,R4,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";16;"1K";;;
