#
# Complete list of irreducible polynomials over GF(2)
# of the form  x^d + \sum_{k=0}^{q}{x^q}
#   where q<d  and d<=400
# All entries from the second-highest power of
# x to x^0==1 are omitted, i.e. the entry
#   16,5  should be read as
# 16,5,4,3,2,1,0 == x^16+x^5+x^4+x^3+x^2+x+1
#.
# Generated by Joerg Arndt, 2003-March-03
#

2,1
3,1
4,1
4,3
5,3
6,1
7,1
7,3
7,5
8,5
9,1
10,3
10,7
10,9
12,5
12,7
12,11
13,11
14,5
14,9
15,1
15,7
15,13
16,5
17,3
17,5
18,5
18,7
18,11
18,17
19,5
20,3
20,9
20,17
21,5
21,13
22,1
23,5
23,11
23,21
25,3
25,7
25,13
25,21
26,11
26,21
28,1
28,3
28,11
28,15
28,17
28,27
30,1
31,3
31,7
31,17
31,23
31,27
33,19
34,7
34,25
34,29
36,5
36,23
36,29
36,35
37,5
37,35
39,17
39,29
39,31
41,3
41,11
42,5
42,13
42,19
42,23
43,13
46,1
47,11
47,33
47,39
47,41
47,45
48,13
49,15
49,17
49,19
50,9
50,29
50,47
52,3
52,7
52,9
52,27
52,31
52,33
52,51
55,7
55,31
55,39
55,51
57,7
57,29
57,35
57,49
58,11
58,21
58,35
58,41
58,47
58,57
60,1
60,13
60,17
60,29
60,59
61,5
62,17
62,41
63,1
63,25
63,31
63,37
63,61
64,9
64,21
66,23
66,35
66,41
66,65
68,47
68,53
68,59
71,27
71,29
73,21
73,31
73,41
73,47
73,51
73,61
74,11
74,35
74,57
74,71
76,43
76,59
76,65
76,73
79,37
79,39
79,65
81,61
81,71
82,39
82,45
82,59
82,69
82,81
84,19
84,25
84,61
85,83
87,19
87,23
87,47
87,65
88,5
88,17
88,29
89,11
89,45
90,17
91,17
92,35
92,65
92,89
94,37
95,27
95,77
95,89
97,13
97,25
97,29
97,53
97,63
97,65
97,93
98,29
98,41
100,29
100,37
100,39
100,41
100,61
100,63
100,99
103,31
103,61
103,75
103,77
104,9
105,53
105,61
105,67
105,97
106,13
106,15
106,61
106,65
106,77
106,105
108,31
108,55
108,61
108,91
111,11
111,65
111,71
111,77
111,85
111,97
111,107
112,5
113,15
113,41
113,51
113,105
113,107
114,11
114,61
116,53
116,59
116,111
116,113
117,17
119,9
119,11
119,27
119,47
119,99
119,107
121,27
121,35
121,57
121,71
121,93
121,103
124,25
124,35
124,67
127,1
127,7
127,15
127,33
127,35
127,49
127,57
127,63
127,65
127,75
127,99
127,105
127,111
127,119
127,125
129,31
129,61
129,91
130,3
130,67
130,89
130,103
130,109
130,127
