#
# Complete list of irreducible trinomials over GF(2)
# up to degree 400
# Short form:  a line of the form
#   d:  t1 t2 t3 t4 ...tn
# corresponds to n entries in the usual form:
#   d, tj, 0  (j \in 1..n)
#.
# Generated by Joerg Arndt, 2003-March-03
#

2:  1
3:  1 2
4:  1 3
5:  2 3
6:  1 3 5
7:  1 3 4 6
9:  1 4 5 8
10:  3 7
11:  2 9
12:  3 5 7 9
14:  5 9
15:  1 4 7 8 11 14
17:  3 5 6 11 12 14
18:  3 7 9 11 15
20:  3 5 15 17
21:  2 7 14 19
22:  1 21
23:  5 9 14 18
25:  3 7 18 22
28:  1 3 9 13 15 19 25 27
29:  2 27
30:  1 9 21 29
31:  3 6 7 13 18 24 25 28
33:  10 13 20 23
34:  7 27
35:  2 33
36:  9 11 15 21 25 27
39:  4 8 14 25 31 35
41:  3 20 21 38
42:  7 35
44:  5 39
46:  1 45
47:  5 14 20 21 26 27 33 42
49:  9 12 15 22 27 34 37 40
52:  3 7 19 21 31 33 45 49
54:  9 21 27 33 45
55:  7 24 31 48
57:  4 7 22 25 32 35 50 53
58:  19 39
60:  1 9 11 15 17 23 37 43 45 49 51 59
62:  29 33
63:  1 5 11 28 31 32 35 52 58 62
65:  18 32 33 47
66:  3 63
68:  9 33 35 59
71:  6 9 18 20 35 36 51 53 62 65
73:  25 28 31 42 45 48
74:  35 39
76:  21 55
79:  9 19 60 70
81:  4 16 35 46 65 77
84:  5 9 11 13 27 35 39 45 49 57 71 73 75 79
86:  21 65
87:  13 74
89:  38 51
90:  27 63
92:  21 71
93:  2 91
94:  21 73
95:  11 17 78 84
97:  6 12 33 34 63 64 85 91
98:  11 27 71 87
100:  15 19 25 37 49 51 63 75 81 85
102:  29 37 65 73
103:  9 13 30 31 72 73 90 94
105:  4 7 8 16 17 28 37 43 49 52 53 56 62 68 77 88 89 97 98 101
106:  15 91
108:  17 27 31 33 45 63 75 77 81 91
110:  33 77
111:  10 49 62 101
113:  9 15 30 83 98 104
118:  33 45 73 85
119:  8 38 81 111
121:  18 30 91 103
123:  2 121
124:  19 37 45 55 69 79 87 105
126:  21 49 77 105
127:  1 7 15 30 63 64 97 112 120 126
129:  5 31 46 83 98 124
130:  3 127
132:  17 29 103 115
134:  57 77
135:  11 16 22 29 106 113 119 124
137:  21 35 57 80 102 116
140:  15 29 45 65 75 95 111 125
142:  21 121
145:  52 69 76 93
146:  71 75
147:  14 49 98 133
148:  27 121
150:  53 73 77 97
151:  3 9 15 31 39 43 46 51 63 66 67 70 81 84 85 88 100 105 108 112 120 136 142 148
153:  1 8 145 152
154:  15 139
155:  62 93
156:  9 11 57 61 63 65 91 93 95 99 145 147
159:  31 34 40 119 125 128
161:  18 39 60 101 122 143
162:  27 63 81 99 135
166:  37 129
167:  6 35 59 77 90 108 132 161
169:  34 42 57 84 85 112 127 135
170:  11 23 147 159
172:  1 7 81 91 165 171
174:  13 57 117 161
175:  6 16 18 57 118 157 159 169
177:  8 22 88 89 155 169
178:  31 87 91 147
180:  3 27 33 45 55 69 111 125 135 147 153 177
182:  81 101
183:  56 127
185:  24 41 69 116 144 161
186:  11 79 107 175
191:  9 18 51 71 120 140 173 182
193:  15 73 85 108 120 178
194:  87 107
196:  3 33 67 129 163 193
198:  9 65 133 189
199:  34 67 132 165
201:  14 17 59 79 122 142 184 187
202:  55 147
204:  27 99 105 177
207:  43 164
209:  6 8 14 45 47 50 62 147 159 162 164 195 201 203
210:  7 203
212:  105 107
214:  73 141
215:  23 51 63 77 101 114 138 152 164 192
217:  45 64 66 82 85 132 135 151 153 172
218:  11 15 71 83 99 119 135 147 203 207
220:  7 33 49 171 187 213
223:  33 34 64 70 91 132 153 159 189 190
225:  32 74 88 97 109 116 128 137 151 193
228:  113 115
231:  26 34 91 140 197 205
233:  74 159
234:  31 103 131 203
236:  5 231
238:  73 117 121 165
239:  36 81 158 203
241:  70 171
242:  95 147
244:  111 133
247:  82 102 145 165
249:  35 86 163 214
250:  103 147
252:  15 27 33 39 53 59 67 77 81 105 109 117 135 143 147 171 175 185 193 199 213 219 225 237
253:  46 207
255:  52 56 82 173 199 203
257:  12 41 48 51 65 192 206 209 216 245
258:  71 83 175 187
260:  15 35 95 105 155 165 225 245
263:  93 170
265:  42 127 138 223
266:  47 219
268:  25 61 207 243
270:  53 81 133 137 189 217
271:  58 70 201 213
273:  23 28 53 55 56 67 88 92 98 110 113 160 163 175 181 185 206 217 218 220 245 250
274:  67 99 135 139 175 207
276:  63 91 185 213
278:  5 273
279:  5 10 38 40 41 59 73 76 80 125 154 199 203 206 220 238 239 241 269 274
281:  93 99 182 188
282:  35 43 63 219 239 247
284:  53 99 119 141 143 165 185 231
286:  69 73 213 217
287:  71 116 125 162 171 216
289:  21 36 84 205 253 268
292:  37 97 195 255
294:  33 49 61 81 213 233 245 261
295:  48 112 123 142 147 148 153 172 183 247
297:  5 83 103 122 137 160 175 194 214 292
300:  5 7 45 55 57 73 75 91 111 147 153 189 209 225 227 243 245 255 293 295
302:  41 261
303:  1 302
305:  102 203
308:  15 293
310:  93 217
313:  79 121 192 234
314:  15 299
316:  63 135 181 253
318:  45 273
319:  36 52 129 190 267 283
321:  31 41 56 76 82 155 166 239 245 265 280 290
322:  67 255
324:  51 81 93 99 135 149 175 189 225 231 243 273
327:  34 152 175 293
329:  50 54 275 279
330:  99 231
332:  89 123 209 243
333:  2 331
337:  55 57 135 139 147 190 198 202 280 282
340:  45 165 175 295
342:  125 133 209 217
343:  75 135 138 159 184 205 208 268
345:  22 37 106 239 308 323
346:  63 283
348:  103 245
350:  53 297
351:  34 55 79 116 134 217 235 272 296 317
353:  69 95 138 143 153 173 180 200 210 215 258 284
354:  99 135 219 255
358:  57 301
359:  68 117 242 291
362:  63 107 255 299
364:  9 67 297 355
366:  29 337
367:  21 171 196 346
369:  91 110 259 278
370:  139 183 187 231
372:  111 135 165 207 237 261
375:  16 64 149 182 193 226 311 359
377:  41 75 302 336
378:  43 63 107 147 231 271 315 335
380:  47 63 105 275 317 333
382:  81 301
383:  90 108 135 248 275 293
385:  6 24 51 54 111 142 159 226 243 274 331 334 361 379
386:  83 303
388:  159 229
390:  9 49 89 301 341 381
391:  28 31 360 363
393:  7 62 91 302 331 386
394:  135 259
396:  25 51 87 109 169 175 221 227 287 309 345 371
399:  26 49 86 109 154 181 218 245 290 313 350 373
