#
# Table of weight-7 binary primitive polynomials
# with (roughly) equally spaced coefficients.
#
# The data was taken from:
#   Janusz Rajski, Jerzy Tyszer:
#   "Primitive Polynomials Over GF(2) of Degree up to 660
#   with Uniformly Distributed Coefficients",
#   Journal of Electronic Testing: Theory and Applications,
#   vol.19, pp.645-657, 2003.
#.


9 7 5 3 2 1 0
10 8 6 4 2 1 0
11 9 7 5 3 1 0
12 10 9 6 4 2 0
13 10 8 6 4 2 0
14 11 10 7 5 2 0
15 12 9 7 4 2 0
16 13 12 9 6 3 0
17 14 11 8 5 3 0
18 14 12 9 6 3 0
19 16 13 9 6 3 0
20 17 13 10 6 3 0
21 17 13 10 6 3 0
22 17 12 10 6 3 0
23 19 15 11 7 3 0
24 19 16 13 8 5 0
25 22 17 13 8 4 0
26 21 17 13 9 4 0
27 24 19 14 10 5 0
28 25 20 15 10 5 0
29 24 19 14 10 5 0
30 24 19 14 9 5 0
31 25 20 15 10 5 0
32 27 21 16 10 5 0
33 29 23 17 11 5 0
34 27 20 16 10 5 0
35 28 23 17 10 5 0
36 29 24 18 12 6 0
37 31 25 18 12 6 0
38 33 26 20 12 6 0
39 32 26 19 13 7 0
40 34 27 19 12 6 0
41 34 27 20 13 6 0
42 34 28 20 14 7 0
43 36 28 20 14 7 0
44 37 29 21 14 7 0
45 37 31 23 16 8 0
46 39 30 21 14 7 0
47 38 29 21 14 7 0
48 41 34 25 16 7 0
49 40 31 24 16 8 0
50 43 34 24 16 8 0
51 42 33 25 16 8 0
52 43 34 25 17 9 0
53 44 35 26 18 9 0
54 46 36 27 18 9 0
55 47 38 28 18 9 0
56 45 34 26 18 9 0
57 48 38 28 19 9 0
58 47 38 28 18 9 0
59 49 38 27 18 9 0
60 51 39 30 19 9 0
61 52 41 31 20 10 0
62 52 41 32 21 10 0
63 52 42 31 21 10 0
64 52 41 30 20 10 0
65 54 43 32 22 11 0
66 55 45 33 23 11 0
67 57 46 34 23 11 0
68 56 44 34 22 11 0
69 57 45 34 23 11 0
70 58 46 35 22 11 0
71 59 47 35 24 12 0
72 61 49 38 24 12 0
73 61 48 36 24 12 0
74 61 47 36 24 12 0
75 62 49 36 25 12 0
76 64 51 37 24 12 0
77 63 51 38 24 12 0
78 66 52 38 26 13 0
79 67 53 39 26 13 0
80 67 53 41 27 13 0
81 68 53 38 26 13 0
82 67 55 40 28 13 0
83 69 55 41 28 14 0
84 69 55 40 27 14 0
85 72 57 42 29 14 0
86 71 57 42 29 14 0
87 73 58 43 28 14 0
88 74 59 43 29 14 0
89 74 59 44 29 14 0
90 76 60 46 30 15 0
91 75 60 46 31 15 0
92 76 62 47 31 15 0
93 76 60 46 31 15 0
94 77 63 46 29 15 0
95 79 63 47 31 16 0
96 79 64 49 33 16 0
97 80 64 49 32 16 0
98 80 64 49 31 16 0
99 82 65 48 33 16 0
100 84 66 49 33 16 0
