#
# All polynomials over GF(2) corresponding to type-t Gaussian normal bases
# for types 1<=t<=11 and degrees n<=63.
# Line format is
# n,t: list-of-pol-coefficients
#.
# Generated by Joerg Arndt, 2009-January-31
#


2,1:  2,1,0
4,1:  4,3,2,1,0
10,1:  10,9,8,7,6,5,4,3,2,1,0
12,1:  12,11,10,9,8,7,6,5,4,3,2,1,0
18,1:  18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
28,1:  28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
36,1:  36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
52,1:  52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
58,1:  58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
60,1:  60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0

1,2:  1,0
2,2:  2,1,0
3,2:  3,2,0
5,2:  5,4,2,1,0
6,2:  6,5,4,1,0
9,2:  9,8,6,5,4,1,0
11,2:  11,10,8,4,3,2,0
14,2:  14,13,12,9,8,1,0
18,2:  18,17,16,13,12,10,9,8,2,1,0
23,2:  23,22,20,16,8,7,6,4,0
26,2:  26,25,24,21,20,18,17,16,5,4,2,1,0
29,2:  29,28,26,25,24,18,17,16,2,1,0
30,2:  30,29,28,25,24,17,16,1,0
33,2:  33,32,30,29,28,25,24,17,16,1,0
35,2:  35,34,32,28,27,26,24,19,18,16,3,2,0
39,2:  39,38,36,32,24,23,22,20,16,7,6,4,0
41,2:  41,40,38,37,36,33,32,22,21,20,17,16,9,8,6,5,4,1,0
50,2:  50,49,48,45,44,42,41,40,34,33,32,13,12,10,9,8,2,1,0
51,2:  51,50,48,44,43,42,40,35,34,32,12,11,10,8,3,2,0
53,2:  53,52,50,49,48,42,41,40,37,36,34,33,32,10,9,8,5,4,2,1,0

4,3:  4,3,0
6,3:  6,5,2,1,0
12,3:  12,11,8,7,6,5,2,1,0
14,3:  14,13,10,9,8,7,6,5,4,2,0
20,3:  20,19,16,15,14,13,10,9,7,4,3,2,0
22,3:  22,21,18,17,16,15,12,9,7,4,0
46,3:  46,45,42,41,40,39,36,35,34,33,30,29,16,13,12,9,8,7,6,5,2,1,0
52,3:  52,51,48,47,46,45,42,41,38,37,36,35,29,28,26,24,23,22,19,18,16,11,8,4,0
54,3:  54,53,50,49,48,47,44,43,42,41,34,33,32,30,28,22,21,19,18,15,13,12,10,8,5,3,0
60,3:  60,59,56,55,54,53,50,49,44,43,42,41,40,39,38,37,36,35,31,28,27,26,23,20,19,17,16,14,6,4,0

1,4:  1,0
3,4:  3,2,0
7,4:  7,6,4,1,0
9,4:  9,8,6,3,2,1,0
13,4:  13,12,10,7,4,3,0
