#
# Primitive polynomials over GF(2)
# with smallest possible block of set bits.
# All entries from the second-highest power of
# x to x^0==1 are omitted, i.e. the entry
#   16,5  should be read as
# 16,5,4,3,2,1,0 == x^16+x^5+x^4+x^3+x^2+x+1
#.
# Generated by Joerg Arndt, 2003-January-30
#

2,1
3,1
4,1
5,3
6,1
7,1
10,7
13,11
15,1
16,5
17,3
18,5
19,5
20,9
21,5
22,1
23,5
25,3
26,11
28,11
31,3
33,19
34,25
36,29
37,5
39,17
41,3
42,5
43,13
47,11
49,15
50,9
52,9
55,39
57,29
58,21
60,1
61,5
63,1
68,53
71,27
73,21
74,35
76,59
79,37
81,61
82,39
84,25
85,83
87,19
88,29
89,11
91,17
92,65
94,37
95,27
97,13
98,29
100,37
103,31
105,53
106,61
108,31
111,11
113,15
114,61
116,111
117,17
119,9
121,35
124,25
127,1
129,31
130,89
132,35
133,13
135,41
137,17
138,11
140,87
143,17
145,21
146,21
147,5
148,61
150,37
151,3
152,21
153,1
154,27
155,9
156,43
159,11
161,53
164,147
165,29
167,9
169,127
170,9
171,5
172,7
175,123
177,53
178,51
183,49
185,69
186,113
188,81
191,29
193,15
194,101
196,27
199,35
201,47
202,37
205,9
206,45
207,101
208,21
209,17
210,59
212,95
215,63
217,59
218,51
223,41
226,55
228,223
231,73
233,77
234,19
236,39
239,5
241,91
242,59
243,161
244,109
247,27
249,89
252,25
253,5
255,79
257,153
258,65
260,149
263,137
265,69
266,17
268,81
271,55
273,103
274,27
276,133
277,45
278,185
279,137
281,41
282,43
284,117
287,17
289,189
290,47
292,151
295,89
298,33
299,45
302,5
303,11
304,5
305,11
306,61
308,125
311,285
313,41
314,147
316,161
319,17
321,31
322,263
324,197
327,13
329,69
332,45
333,5
337,35
338,93
340,169
343,95
345,11
348,115
350,17
351,61
353,203
354,115
356,213
357,101
359,69
361,241
364,29
365,363
367,27
369,101
370,79
372,167
375,43
377,23
378,149
380,33
383,305
385,73
386,9
388,299
391,31
393,79
394,81
396,161
397,21
399,25
