#
# Factorizations of Mersenne numbers 2**n-1 for prime n<=1103
# where the complete factorization is known
#
# format:  an entry
#    n: a.b.c.d
# means that 2**n-1 == a*b*c*d
#
# Repeated factors occur according to their multiplicity.
#
# The (prime) exponents not in the list are:
# 787 821 823 827 853 857 859 863 877 887 919 929 937 941 947 953 977
# 991 1009 1013 1019 1031 1039 1051 1061 1069 1087 1093
#.
# version: 2006-September-19
#

2: 3
3: 7
5: 31
7: 127
11: 23.89
13: 8191
17: 131071
19: 524287
23: 47.178481
29: 233.1103.2089
31: 2147483647
37: 223.616318177
41: 13367.164511353
43: 431.9719.2099863
47: 2351.4513.13264529
53: 6361.69431.20394401
59: 179951.3203431780337
61: 2305843009213693951
67: 193707721.761838257287
71: 228479.48544121.212885833
73: 439.2298041.9361973132609
79: 2687.202029703.1113491139767
83: 167.57912614113275649087721
89: 618970019642690137449562111
97: 11447.13842607235828485645766393
101: 7432339208719.341117531003194129
103: 2550183799.3976656429941438590393
107: 162259276829213363391578010288127
109: 745988807.870035986098720987332873
113: 3391.23279.65993.1868569.1066818132868207
127: 170141183460469231731687303715884105727
131: 263.10350794431055162386718619237468234569
137: 32032215596496435569.5439042183600204290159
139: 5625767248687.123876132205208335762278423601
149: 86656268566282183151.8235109336690846723986161
151: 18121.55871.165799.2332951.7289088383388253664437433
157: 852133201.60726444167.1654058017289.2134387368610417
163: 150287.704161.110211473.27669118297.36230454570129675721
167: 2349023.79638304766856507377778616296087448490695649
173: 730753.1505447.70084436712553223.155285743288572277679887
179: 359.1433.1489459109360039866456940197095433721664951999121
181: 43441.1164193.7648337.7923871097285295625344647665764672671
191: 383.7068569257.39940132241.332584516519201.87274497124602996457
193: 13821503.61654440233248340616559.14732265321145317331353282383
197: 7487.26828803997912886929710867041891989490486893845712448833
199: 164504919713.4884164093883941177660049098586324302977543600799
211: 15193.60272956433838849161.3593875704495823757388199894268773153439
223: 18287.196687.1466449.2916841.1469495262398780123809.596242599987116128415063
227: 26986333437777017.7992177738205979626491506950867720953545660121688631
229: 1504073.20492753.59833457464970183.467795120187583723534280000348743236593
233: 1399.135607.622577.116868129879077600270344856324766260085066532853492178431
239: 479.1913.5737.176383.134000609.7110008717824458123105014279253754096863768062879
241: 22000409.160619474372352289412737508720216839225805656328990879953332340439
251: 503.54217.178230287214063289511.61676882198695257501367.12070396178249893039969681
257: 535006138814359.1155685395246619182673033.374550598501810936581776630096313181393
263: 23671.13572264529177.120226360536848498024035943.383725126655170964501315730676446647
269: 13822297.68625988504811774259364670661552948915363901845035416371912463477873783063
271: 15242475217.248927757868131890277330541567820045256364273970773286542188386932989391
277: 1121297.31133636305610209482201109050392404721.6955979459776540052280934851589652278783
281: 80929.48009215293052652841860443273079338843737271906291675944391068955229998769420319
283: 9623.68492481833.23579543011798993222850893929565870383844167873851502677311057483194673
293: 40122362455616221971122353.396645227028138890415611220710757921643910743103031701971222447
307: 14608903.85798519.23487583303.78952752017.112177476474470525577861298937835338545723093134076373561
311: 5344847.2647649373910205158468946067671.294803681348959296477194164064643062187559537539328375831
313: 10960009.14787970697180273.3857194764289141165278097.26693012026551688286164949958620483258358551879
317: 9511.587492521482839879.4868122671322098041565641.9815639231755686605031317440031161584572466128599
331: 16937389168607.865118802936559.298542624980197463613767215333569428005686468835821253721796682625551919
337: 18199.2806537.95763203297.726584894969.78778047326466742993612420842416198311394008068822475527239136925369
347: 14143189112952632419639.20270345302545987116040069442814496729341666112096057885992643120463337596490211193
349: 1779973928671.34720396273212657799920861294559.18555393648630683868229284313709360336855095474246691696225599
353: 931921.2927455476800301964116805545194017.6725414756111955781503880188940925566051960039574573675843402666863
359: 719.855857.778165529.65877330027880703.370906580744492785430299503112990447.100361196281293745682520861860411315001
367: 12479.51791041.78138581882953.301311116540899114446723859201.19755740081951910036006278827509875120092863638283602681
373: 25569151.752440346497356983142327449546457327748644897934114291899411428982990336039662496766303354959577078458241
379: 180818808679.6809649408891001685768937590233308625949604176033855796938978177320539702698633946720428389517879894953
383: 1440847.7435494593.503823044204581129045587727.15174923558680812616818436353130417.240522700235167893496900256599634325263
389: 56478911.4765678679.4684435266636161232578932847604331726884269415306219621279642876954933236537677535849040755779223719
397: 2383.6353.50023.53993.202471.5877983.814132872808522587940886856743.1234904213576000272542841146073.6597485910270326519900042655193
401: 856971565399.2136958965524920285681.594538100848945223169882301931953.4743358775443804666040010704534780418840545962266329593
409: 4480666067023.76025626689833.3881196575913244673719425770871246487895686937951690944453838586764072695131586617955811936945129
419: 839.903780021613921.5800422716722833271214743.10287968884341772230096159036619433593.29919490848598531825060153417921002916701815927
421: 614002928307599.8819779591697258388298117725624832271141577326602771028307143781815455970700534027206522451123308835472505327249
431: 863.3449.36238481.76859369.558062249.4642152737.142850312799017452169.1807482391092819529831423005040763105191863029850140579776353298087457
433: 22086765417396827057.737748363812546584876297.5028667832511715101284999.270704078857734344240200528055897595961633472511075822112527121
439: 104110607.127321491658223.122551752733003055543.873880146833642190373525520936770796845382029997855219402285283144955696825577908510162169
443: 887.207818990653657.123219439267346362049744425289349676468781136823956005602631224069302162695430546376768705960936201429580820215522273
449: 1256303.6871197486841.3578620616468306981503.526385733768051189441947168504909159.89396693392545895668303801721053258296972567022618106513441
457: 150327409.2475539419689929784935319344449409898291165097323714578650943035813830300993611462717419801770460539016610145009605554380104535919
461: 2767.358228856441770927.7099353734763245383.846134609236527432935428641453947808692744612842997575850108349114305165850593069285923876628410633
463: 11113.3407681.448747600991881.239932071009857681156251129.385606580062688087218266143.15148264043785111348665069495360623752616947973471649653354617
467: 121606801.1148984537885906196977362003686090739460725564747973734847.2727318928892040009397199815225412029789790574177544409019502626344207905841
479: 33385343.6293443049.683481445118041278287416124073722711169070307627777892361.10869186607773319558730501484452015470992764113369214593828236615596881
487: 4871.82033219963138371097689272308258116841679442057301643873942124991182012434598644913857356023840478815121709542915222280972560231358838127531337
491: 983.7707719.110097436327057.6976447052525718623.19970905118623195851890562673.3717542676439779473786876643915388439.14797326616665978116353515926860025681383
499: 20959.1998447222711143545931606352264121.39075504626391841678304934944805852280404731716385642050296152320994438836806257083337312828162589099799400566633
503: 3213684984979279.12158987054135300783.1873030665061080894263.357801561527383951750371336247776228772287580084037416747290336593974702826921943012497755232377
509: 12619129.19089479845124902223.647125715643884876759057.10751168288022146026259956092344345159681167846281852853736470411971627982051345994439553634116438524169
521: 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151
523: 160188778313202118610543685368878688932828701136501444932217468039063.171417691861249198128317096534322116476165056718630345094896620367860006486977101859504089
541: 4312790327.6115209994009.77146448294831869472151022106713.904106555381898703253733254107256591.3913112911835820709255943886069525362580351752909309688547154382752707879
547: 5471.172720604638150729.157552196128597543991.3094370432032805355177230433270065636934209000089709476056046201975893944504526523646181882472019182454441940262575164313583
557: 3343.21993703.4565508951414453792719.22053236096920219270632521586535711.63725217520100446091019213316114800470054259870518161822841838235099774015887061706672583915057828311
563: 2815747080256641401887817.13299213974872825932452460424235657.806246686530274231554002548822879844631710799886320977786718630531739958469131883287342678637275814925394111503
569: 15854617.55470673.182602768015690099110572536951.110582329556343704552404016904356632250881.108806602929626417274819133540757472113515266666479405303620102624927964940643869698641
571: 5711.27409.6969336604531667168509871230100794095801832527002849548226132675916172927.7084851186360580941633572744569751943590093912197024061201633650193388126309578906138706239
577: 3463.132305774316967.1079633141772892852450713464662329764119217100464362618290526362027911012565069142996396993157133020422681868025602819574600599624729277860300320636162145551
587: 554129.2926783.39483330766889.73208283304744901303.3728298863422039632638351.28981531265700436474908668605764037292283479533071482196860868875487797459833848867410473799526014756969233
593: 104369.3061144307110551703729.4027016481761119763553952463965455549881.25196991873376840666877753354820854690700634889106188923103670773691217227808851569395431001182974969907991345111
599: 16659379034607403556537.148296291984475077955727317447564721950969097.839804700900123195473468092497901750422530587828620063507554515144683510250490874819119570309824866293030799718783
601: 3607.64863527.643390760896826272806925563059612685509039265031067456849993.55132269643416861808940702349402264919915041547757633769331818430511033108848146620408728664776308505356579463
607: 531137992816767098689588206552468627329593117727031923199444138200403559860852242739162502265229285668889329486246501015346579337652707239409519978766587351943831270835393219031728127
613: 44599476833089207.332817722770314187794325446534549089.2290082526100134480992198124951512750039139339635155094272008280546850886939008711730865851616722892614369047154769105713048457413017
617: 59233.68954123297.157751978115225385495647532421006478127229405644601.844128455869220390432964719493514618402640004425573909495498148095803754815792818296643067760548829906291314807571121271
619: 110183.710820995447.109378681671075297195692480234213908123642560192251038455204252439.253956768073164214501297023118206917309861082669993582450697816383242451115365529071170420452455686291833
631: 333628015107245479.474640860193534882628078580680807822523991.56272943145171606416041974272779967237377245135400982739236727888151415549771970573866251017208467153984404288129453336803370700223
641: 35897.49999.1173835097.2401258891949526685926151441.745276300734440606226386924312213175677903182797334854064486587296999.2420161564200739329410254310444778820196576654139080232429544162649795567983079
643: 3189281.22532429052605670225026391054393428833168207234802434915090881303620353.507909591297683949138862971271266635431758872031092542127980551589004038646657157217329569167343063743426799521984799
647: 303303806129303896428103.11502383762931955619183430785983.167394614336255622287892974563562062279515450939194955645810372698957070837766887487273372150456980944216508605805295762403884169162369962423
653: 78557207.289837969.16008527538753578495897.3044938125828889184039273431.3786707123184812723340717607.8893122618977158614989714180722964331426004820169213558574794542353622623988934429093001259164784553073
659: 1319.11527429277532648241.626564962613678012662146877852049.251086738251154096972406810844747949762035524178595675929170915606850110959224676215815898957406470467234237429325630890565682143133147884918697
661: 1330270433.3370159489168519.1009157848082361225065617.118420287267066844820208926433723871.17858769391813189478549404315577297646468853412925918136831275019859096428810527270736800933577430978666397275839559
673: 581163767.41283139633378645724930694480520226273492263.68396769572915971687133122358352070840260017483089158059519.23882525111457526669660263269125438250762730250942712633131193354954889195068879706608493409
677: 1943118631.531132717139346021081.978146583988637765536217.53625112691923843508117942311516428173021903300344567.11583306121194302925666610180475654822154587629577979400456857120235319057709961541850271218784399
683: 1367.434836499112609694795723958417048861299768144283442662402095922180462812746769.67513796971703570854592232797421324116119881147340327278928245456644619398078155616494185719845536064262986241999463764460809
691: 906642603313.10488160032325844521.2833637724427940664433391497.16636201944470267267182958207.22918862886543542550497013689794549380986252187467410793440853162884227395126178667668709323949107483968180609969160895841
701: 796337.2983457.28812503.1073825104511.9983923992673.15865578195367.40686928318417.22206681732300686559830164931393965396408838897922182477635701769356115170703313643368016416398879761353787885396721401460120094241214356289
709: 216868921.1391646221255097953.8923613716343045335466356955530999435422162663462596131888032215488375825848018829047564287845002013075724298352985234932029074583858040431943816370013577608497700099852955833804395145047
719: 1439.772207.737572843389436536903316910033561929012829990389769.3364863383830652366335210393518491785856011463060033034654745068273488710285685703620428197074067655529662828038323130749953734783229767328135045029575767351
727: 17606291711815434037934881872331611670777491166445300472749449436575622328171096762265466521858927.40099499726183758517891939428601665707063794593443940689888526556802581529262728143398959743444150539520890742947533452401
733: 694653525743.14399141148866077141941966959399761.13948432601001273785699253868326270649.323859454602846465430592983958773961474277685578169412119356868424381403955618825288675324084410296085213990090086547906305592473316302633
739: 184603056517613273120809.48050683584092004380805463790111.2561503388753170490897052206621137620938856555180343258504238260072282185111994663.127272156538341585859901060648396014824316131571314972298723685854248631905051286241951
743: 1487.1219280833.14904366017.118722715461092305629361.4721525455401597740684262559.4977047949106985392753791512048265888682003683833.613720420796759675451139508622795804166246759541726012528134612386302767091250830851871364817724458103
751: 227640245125324450927745881868402667694620457976381782672549806487.6493500319937011450007704218333851757321824602859305748523089149897.8013068084032653262407517654187282813856393979050146558081797631812307901576375946587821853073
757: 9815263.561595591.5722137022002067824248227975095857749151312827809388406962346253182128916964593.24033821640983508088736273403005965446689002356344332130565066643193813901119771090424269412054543072714914742665677774247325292327559
