// output of ./demo/comb/composition-ex-lex-demo.cc:
// Description:
//% Compositions of n into exactly k parts in lexicographic order.

arg 1: 8 == n  [Compositions of n (n>=1)]  default=8
arg 2: 4 == k  [Into exactly k parts (must have: k<=n) ]  default=4
   1:    [ 1 1 1 5 ]  0      [ . . . 4 ]
   2:    [ 1 1 2 4 ]  3      [ . . 1 3 ]
   3:    [ 1 1 3 3 ]  3      [ . . 2 2 ]
   4:    [ 1 1 4 2 ]  3      [ . . 3 1 ]
   5:    [ 1 1 5 1 ]  3      [ . . 4 . ]
   6:    [ 1 2 1 4 ]  2      [ . 1 . 3 ]
   7:    [ 1 2 2 3 ]  3      [ . 1 1 2 ]
   8:    [ 1 2 3 2 ]  3      [ . 1 2 1 ]
   9:    [ 1 2 4 1 ]  3      [ . 1 3 . ]
  10:    [ 1 3 1 3 ]  2      [ . 2 . 2 ]
  11:    [ 1 3 2 2 ]  3      [ . 2 1 1 ]
  12:    [ 1 3 3 1 ]  3      [ . 2 2 . ]
  13:    [ 1 4 1 2 ]  2      [ . 3 . 1 ]
  14:    [ 1 4 2 1 ]  3      [ . 3 1 . ]
  15:    [ 1 5 1 1 ]  2      [ . 4 . . ]
  16:    [ 2 1 1 4 ]  1      [ 1 . . 3 ]
  17:    [ 2 1 2 3 ]  3      [ 1 . 1 2 ]
  18:    [ 2 1 3 2 ]  3      [ 1 . 2 1 ]
  19:    [ 2 1 4 1 ]  3      [ 1 . 3 . ]
  20:    [ 2 2 1 3 ]  2      [ 1 1 . 2 ]
  21:    [ 2 2 2 2 ]  3      [ 1 1 1 1 ]
  22:    [ 2 2 3 1 ]  3      [ 1 1 2 . ]
  23:    [ 2 3 1 2 ]  2      [ 1 2 . 1 ]
  24:    [ 2 3 2 1 ]  3      [ 1 2 1 . ]
  25:    [ 2 4 1 1 ]  2      [ 1 3 . . ]
  26:    [ 3 1 1 3 ]  1      [ 2 . . 2 ]
  27:    [ 3 1 2 2 ]  3      [ 2 . 1 1 ]
  28:    [ 3 1 3 1 ]  3      [ 2 . 2 . ]
  29:    [ 3 2 1 2 ]  2      [ 2 1 . 1 ]
  30:    [ 3 2 2 1 ]  3      [ 2 1 1 . ]
  31:    [ 3 3 1 1 ]  2      [ 2 2 . . ]
  32:    [ 4 1 1 2 ]  1      [ 3 . . 1 ]
  33:    [ 4 1 2 1 ]  3      [ 3 . 1 . ]
  34:    [ 4 2 1 1 ]  2      [ 3 1 . . ]
  35:    [ 5 1 1 1 ]  1      [ 4 . . . ]
 ct=35
