// output of ./demo/comb/composition-nz-i-smooth-demo.cc:
// Description:
//% Internally smooth compositions:
//% consecutive parts differ by at most 1.
//% Lexicographic order.
//% See OEIS sequence A034297.

arg 1: 8 == n  [Internally smooth compositions of n]  default=8
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   1:  [ 8]    [ 1 1 1 1 1 1 1 1 ]
   2:  [ 7]    [ 1 1 1 1 1 1 2 ]
   3:  [ 7]    [ 1 1 1 1 1 2 1 ]
   4:  [ 7]    [ 1 1 1 1 2 1 1 ]
   5:  [ 6]    [ 1 1 1 1 2 2 ]
   6:  [ 7]    [ 1 1 1 2 1 1 1 ]
   7:  [ 6]    [ 1 1 1 2 1 2 ]
   8:  [ 6]    [ 1 1 1 2 2 1 ]
   9:  [ 5]    [ 1 1 1 2 3 ]
  10:  [ 7]    [ 1 1 2 1 1 1 1 ]
  11:  [ 6]    [ 1 1 2 1 1 2 ]
  12:  [ 6]    [ 1 1 2 1 2 1 ]
  13:  [ 6]    [ 1 1 2 2 1 1 ]
  14:  [ 5]    [ 1 1 2 2 2 ]
  15:  [ 7]    [ 1 2 1 1 1 1 1 ]
  16:  [ 6]    [ 1 2 1 1 1 2 ]
  17:  [ 6]    [ 1 2 1 1 2 1 ]
  18:  [ 6]    [ 1 2 1 2 1 1 ]
  19:  [ 5]    [ 1 2 1 2 2 ]
  20:  [ 6]    [ 1 2 2 1 1 1 ]
  21:  [ 5]    [ 1 2 2 1 2 ]
  22:  [ 5]    [ 1 2 2 2 1 ]
  23:  [ 4]    [ 1 2 2 3 ]
  24:  [ 4]    [ 1 2 3 2 ]
  25:  [ 7]    [ 2 1 1 1 1 1 1 ]
  26:  [ 6]    [ 2 1 1 1 1 2 ]
  27:  [ 6]    [ 2 1 1 1 2 1 ]
  28:  [ 6]    [ 2 1 1 2 1 1 ]
  29:  [ 5]    [ 2 1 1 2 2 ]
  30:  [ 6]    [ 2 1 2 1 1 1 ]
  31:  [ 5]    [ 2 1 2 1 2 ]
  32:  [ 5]    [ 2 1 2 2 1 ]
  33:  [ 4]    [ 2 1 2 3 ]
  34:  [ 6]    [ 2 2 1 1 1 1 ]
  35:  [ 5]    [ 2 2 1 1 2 ]
  36:  [ 5]    [ 2 2 1 2 1 ]
  37:  [ 5]    [ 2 2 2 1 1 ]
  38:  [ 4]    [ 2 2 2 2 ]
  39:  [ 4]    [ 2 3 2 1 ]
  40:  [ 3]    [ 2 3 3 ]
  41:  [ 5]    [ 3 2 1 1 1 ]
  42:  [ 4]    [ 3 2 1 2 ]
  43:  [ 4]    [ 3 2 2 1 ]
  44:  [ 3]    [ 3 2 3 ]
  45:  [ 3]    [ 3 3 2 ]
  46:  [ 2]    [ 4 4 ]
  47:  [ 1]    [ 8 ]
 ct=47
