// output of ./demo/comb/composition-nz-demo.cc:
// Description:
//% Compositions of n into positive parts.

arg 1: 7 == n  [compositions of n]  default=7
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   0:  ......  [ 1 1 1 1 1 1 1 ]
   1:  .....1  [ 1 1 1 1 1 2 ]
   2:  ....1.  [ 1 1 1 1 2 1 ]
   3:  ....11  [ 1 1 1 1 3 ]
   4:  ...1..  [ 1 1 1 2 1 1 ]
   5:  ...1.1  [ 1 1 1 2 2 ]
   6:  ...11.  [ 1 1 1 3 1 ]
   7:  ...111  [ 1 1 1 4 ]
   8:  ..1...  [ 1 1 2 1 1 1 ]
   9:  ..1..1  [ 1 1 2 1 2 ]
  10:  ..1.1.  [ 1 1 2 2 1 ]
  11:  ..1.11  [ 1 1 2 3 ]
  12:  ..11..  [ 1 1 3 1 1 ]
  13:  ..11.1  [ 1 1 3 2 ]
  14:  ..111.  [ 1 1 4 1 ]
  15:  ..1111  [ 1 1 5 ]
  16:  .1....  [ 1 2 1 1 1 1 ]
  17:  .1...1  [ 1 2 1 1 2 ]
  18:  .1..1.  [ 1 2 1 2 1 ]
  19:  .1..11  [ 1 2 1 3 ]
  20:  .1.1..  [ 1 2 2 1 1 ]
  21:  .1.1.1  [ 1 2 2 2 ]
  22:  .1.11.  [ 1 2 3 1 ]
  23:  .1.111  [ 1 2 4 ]
  24:  .11...  [ 1 3 1 1 1 ]
  25:  .11..1  [ 1 3 1 2 ]
  26:  .11.1.  [ 1 3 2 1 ]
  27:  .11.11  [ 1 3 3 ]
  28:  .111..  [ 1 4 1 1 ]
  29:  .111.1  [ 1 4 2 ]
  30:  .1111.  [ 1 5 1 ]
  31:  .11111  [ 1 6 ]
  32:  1.....  [ 2 1 1 1 1 1 ]
  33:  1....1  [ 2 1 1 1 2 ]
  34:  1...1.  [ 2 1 1 2 1 ]
  35:  1...11  [ 2 1 1 3 ]
  36:  1..1..  [ 2 1 2 1 1 ]
  37:  1..1.1  [ 2 1 2 2 ]
  38:  1..11.  [ 2 1 3 1 ]
  39:  1..111  [ 2 1 4 ]
  40:  1.1...  [ 2 2 1 1 1 ]
  41:  1.1..1  [ 2 2 1 2 ]
  42:  1.1.1.  [ 2 2 2 1 ]
  43:  1.1.11  [ 2 2 3 ]
  44:  1.11..  [ 2 3 1 1 ]
  45:  1.11.1  [ 2 3 2 ]
  46:  1.111.  [ 2 4 1 ]
  47:  1.1111  [ 2 5 ]
  48:  11....  [ 3 1 1 1 1 ]
  49:  11...1  [ 3 1 1 2 ]
  50:  11..1.  [ 3 1 2 1 ]
  51:  11..11  [ 3 1 3 ]
  52:  11.1..  [ 3 2 1 1 ]
  53:  11.1.1  [ 3 2 2 ]
  54:  11.11.  [ 3 3 1 ]
  55:  11.111  [ 3 4 ]
  56:  111...  [ 4 1 1 1 ]
  57:  111..1  [ 4 1 2 ]
  58:  111.1.  [ 4 2 1 ]
  59:  111.11  [ 4 3 ]
  60:  1111..  [ 5 1 1 ]
  61:  1111.1  [ 5 2 ]
  62:  11111.  [ 6 1 ]
  63:  111111  [ 7 ]
 ct=64
