// output of ./demo/comb/partition-asc-demo.cc:
// Description:
//% Integer partitions as weakly ascending list of parts.
//% Lexicographic order.
//% Cf. OEIS sequence A000041.

arg 1: 11 == n  [integer partitions of n]  default=11
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   1:  [11]   [ 1 1 1 1 1 1 1 1 1 1 1 ]
   2:  [10]   [ 1 1 1 1 1 1 1 1 1 2 ]
   3:  [ 9]   [ 1 1 1 1 1 1 1 1 3 ]
   4:  [ 9]   [ 1 1 1 1 1 1 1 2 2 ]
   5:  [ 8]   [ 1 1 1 1 1 1 1 4 ]
   6:  [ 8]   [ 1 1 1 1 1 1 2 3 ]
   7:  [ 7]   [ 1 1 1 1 1 1 5 ]
   8:  [ 8]   [ 1 1 1 1 1 2 2 2 ]
   9:  [ 7]   [ 1 1 1 1 1 2 4 ]
  10:  [ 7]   [ 1 1 1 1 1 3 3 ]
  11:  [ 6]   [ 1 1 1 1 1 6 ]
  12:  [ 7]   [ 1 1 1 1 2 2 3 ]
  13:  [ 6]   [ 1 1 1 1 2 5 ]
  14:  [ 6]   [ 1 1 1 1 3 4 ]
  15:  [ 5]   [ 1 1 1 1 7 ]
  16:  [ 7]   [ 1 1 1 2 2 2 2 ]
  17:  [ 6]   [ 1 1 1 2 2 4 ]
  18:  [ 6]   [ 1 1 1 2 3 3 ]
  19:  [ 5]   [ 1 1 1 2 6 ]
  20:  [ 5]   [ 1 1 1 3 5 ]
  21:  [ 5]   [ 1 1 1 4 4 ]
  22:  [ 4]   [ 1 1 1 8 ]
  23:  [ 6]   [ 1 1 2 2 2 3 ]
  24:  [ 5]   [ 1 1 2 2 5 ]
  25:  [ 5]   [ 1 1 2 3 4 ]
  26:  [ 4]   [ 1 1 2 7 ]
  27:  [ 5]   [ 1 1 3 3 3 ]
  28:  [ 4]   [ 1 1 3 6 ]
  29:  [ 4]   [ 1 1 4 5 ]
  30:  [ 3]   [ 1 1 9 ]
  31:  [ 6]   [ 1 2 2 2 2 2 ]
  32:  [ 5]   [ 1 2 2 2 4 ]
  33:  [ 5]   [ 1 2 2 3 3 ]
  34:  [ 4]   [ 1 2 2 6 ]
  35:  [ 4]   [ 1 2 3 5 ]
  36:  [ 4]   [ 1 2 4 4 ]
  37:  [ 3]   [ 1 2 8 ]
  38:  [ 4]   [ 1 3 3 4 ]
  39:  [ 3]   [ 1 3 7 ]
  40:  [ 3]   [ 1 4 6 ]
  41:  [ 3]   [ 1 5 5 ]
  42:  [ 2]   [ 1 10 ]
  43:  [ 5]   [ 2 2 2 2 3 ]
  44:  [ 4]   [ 2 2 2 5 ]
  45:  [ 4]   [ 2 2 3 4 ]
  46:  [ 3]   [ 2 2 7 ]
  47:  [ 4]   [ 2 3 3 3 ]
  48:  [ 3]   [ 2 3 6 ]
  49:  [ 3]   [ 2 4 5 ]
  50:  [ 2]   [ 2 9 ]
  51:  [ 3]   [ 3 3 5 ]
  52:  [ 3]   [ 3 4 4 ]
  53:  [ 2]   [ 3 8 ]
  54:  [ 2]   [ 4 7 ]
  55:  [ 2]   [ 5 6 ]
  56:  [ 1]   [ 11 ]
 ct=56
