// output of ./demo/comb/partition-binary-desc-demo.cc:
// Description:
//% Binary partitions as weakly descending list of parts.
//% Lexicographic order.
//% Cf. OEIS sequences A018819 and A000123.

arg 1: 20 == n  [binary integer partitions of n]  default=20
  1:  [20]   [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  2:  [19]   [ 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  3:  [18]   [ 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  4:  [17]   [ 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  5:  [16]   [ 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 ]
  6:  [15]   [ 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 ]
  7:  [14]   [ 2 2 2 2 2 2 1 1 1 1 1 1 1 1 ]
  8:  [13]   [ 2 2 2 2 2 2 2 1 1 1 1 1 1 ]
  9:  [12]   [ 2 2 2 2 2 2 2 2 1 1 1 1 ]
 10:  [11]   [ 2 2 2 2 2 2 2 2 2 1 1 ]
 11:  [10]   [ 2 2 2 2 2 2 2 2 2 2 ]
 12:  [17]   [ 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
 13:  [16]   [ 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
 14:  [15]   [ 4 2 2 1 1 1 1 1 1 1 1 1 1 1 1 ]
 15:  [14]   [ 4 2 2 2 1 1 1 1 1 1 1 1 1 1 ]
 16:  [13]   [ 4 2 2 2 2 1 1 1 1 1 1 1 1 ]
 17:  [12]   [ 4 2 2 2 2 2 1 1 1 1 1 1 ]
 18:  [11]   [ 4 2 2 2 2 2 2 1 1 1 1 ]
 19:  [10]   [ 4 2 2 2 2 2 2 2 1 1 ]
 20:  [ 9]   [ 4 2 2 2 2 2 2 2 2 ]
 21:  [14]   [ 4 4 1 1 1 1 1 1 1 1 1 1 1 1 ]
 22:  [13]   [ 4 4 2 1 1 1 1 1 1 1 1 1 1 ]
 23:  [12]   [ 4 4 2 2 1 1 1 1 1 1 1 1 ]
 24:  [11]   [ 4 4 2 2 2 1 1 1 1 1 1 ]
 25:  [10]   [ 4 4 2 2 2 2 1 1 1 1 ]
 26:  [ 9]   [ 4 4 2 2 2 2 2 1 1 ]
 27:  [ 8]   [ 4 4 2 2 2 2 2 2 ]
 28:  [11]   [ 4 4 4 1 1 1 1 1 1 1 1 ]
 29:  [10]   [ 4 4 4 2 1 1 1 1 1 1 ]
 30:  [ 9]   [ 4 4 4 2 2 1 1 1 1 ]
 31:  [ 8]   [ 4 4 4 2 2 2 1 1 ]
 32:  [ 7]   [ 4 4 4 2 2 2 2 ]
 33:  [ 8]   [ 4 4 4 4 1 1 1 1 ]
 34:  [ 7]   [ 4 4 4 4 2 1 1 ]
 35:  [ 6]   [ 4 4 4 4 2 2 ]
 36:  [ 5]   [ 4 4 4 4 4 ]
 37:  [13]   [ 8 1 1 1 1 1 1 1 1 1 1 1 1 ]
 38:  [12]   [ 8 2 1 1 1 1 1 1 1 1 1 1 ]
 39:  [11]   [ 8 2 2 1 1 1 1 1 1 1 1 ]
 40:  [10]   [ 8 2 2 2 1 1 1 1 1 1 ]
 41:  [ 9]   [ 8 2 2 2 2 1 1 1 1 ]
 42:  [ 8]   [ 8 2 2 2 2 2 1 1 ]
 43:  [ 7]   [ 8 2 2 2 2 2 2 ]
 44:  [10]   [ 8 4 1 1 1 1 1 1 1 1 ]
 45:  [ 9]   [ 8 4 2 1 1 1 1 1 1 ]
 46:  [ 8]   [ 8 4 2 2 1 1 1 1 ]
 47:  [ 7]   [ 8 4 2 2 2 1 1 ]
 48:  [ 6]   [ 8 4 2 2 2 2 ]
 49:  [ 7]   [ 8 4 4 1 1 1 1 ]
 50:  [ 6]   [ 8 4 4 2 1 1 ]
 51:  [ 5]   [ 8 4 4 2 2 ]
 52:  [ 4]   [ 8 4 4 4 ]
 53:  [ 6]   [ 8 8 1 1 1 1 ]
 54:  [ 5]   [ 8 8 2 1 1 ]
 55:  [ 4]   [ 8 8 2 2 ]
 56:  [ 3]   [ 8 8 4 ]
 57:  [ 5]   [ 16 1 1 1 1 ]
 58:  [ 4]   [ 16 2 1 1 ]
 59:  [ 3]   [ 16 2 2 ]
 60:  [ 2]   [ 16 4 ]
 ct=60
