// output of ./demo/comb/partition-dist-desc-demo.cc:
// Description:
//% Partitions into distinct parts as decreasing list of parts.
//% Lexicographic order.
//% Cf. OEIS sequence A000009.

arg 1: 19 == n  [integer partitions of n]  default=19
   1:  [ 5]  [ 6 5 4 3 1 ]
   2:  [ 5]  [ 7 5 4 2 1 ]
   3:  [ 4]  [ 7 5 4 3 ]
   4:  [ 5]  [ 7 6 3 2 1 ]
   5:  [ 4]  [ 7 6 4 2 ]
   6:  [ 4]  [ 7 6 5 1 ]
   7:  [ 5]  [ 8 5 3 2 1 ]
   8:  [ 4]  [ 8 5 4 2 ]
   9:  [ 4]  [ 8 6 3 2 ]
  10:  [ 4]  [ 8 6 4 1 ]
  11:  [ 3]  [ 8 6 5 ]
  12:  [ 4]  [ 8 7 3 1 ]
  13:  [ 3]  [ 8 7 4 ]
  14:  [ 5]  [ 9 4 3 2 1 ]
  15:  [ 4]  [ 9 5 3 2 ]
  16:  [ 4]  [ 9 5 4 1 ]
  17:  [ 4]  [ 9 6 3 1 ]
  18:  [ 3]  [ 9 6 4 ]
  19:  [ 4]  [ 9 7 2 1 ]
  20:  [ 3]  [ 9 7 3 ]
  21:  [ 3]  [ 9 8 2 ]
  22:  [ 4]  [ 10 4 3 2 ]
  23:  [ 4]  [ 10 5 3 1 ]
  24:  [ 3]  [ 10 5 4 ]
  25:  [ 4]  [ 10 6 2 1 ]
  26:  [ 3]  [ 10 6 3 ]
  27:  [ 3]  [ 10 7 2 ]
  28:  [ 3]  [ 10 8 1 ]
  29:  [ 2]  [ 10 9 ]
  30:  [ 4]  [ 11 4 3 1 ]
  31:  [ 4]  [ 11 5 2 1 ]
  32:  [ 3]  [ 11 5 3 ]
  33:  [ 3]  [ 11 6 2 ]
  34:  [ 3]  [ 11 7 1 ]
  35:  [ 2]  [ 11 8 ]
  36:  [ 4]  [ 12 4 2 1 ]
  37:  [ 3]  [ 12 4 3 ]
  38:  [ 3]  [ 12 5 2 ]
  39:  [ 3]  [ 12 6 1 ]
  40:  [ 2]  [ 12 7 ]
  41:  [ 4]  [ 13 3 2 1 ]
  42:  [ 3]  [ 13 4 2 ]
  43:  [ 3]  [ 13 5 1 ]
  44:  [ 2]  [ 13 6 ]
  45:  [ 3]  [ 14 3 2 ]
  46:  [ 3]  [ 14 4 1 ]
  47:  [ 2]  [ 14 5 ]
  48:  [ 3]  [ 15 3 1 ]
  49:  [ 2]  [ 15 4 ]
  50:  [ 3]  [ 16 2 1 ]
  51:  [ 2]  [ 16 3 ]
  52:  [ 2]  [ 17 2 ]
  53:  [ 2]  [ 18 1 ]
  54:  [ 1]  [ 19 ]
 ct=54
