// output of ./demo/comb/perm-gray-wells-demo.cc:
// Description:
//% Two Gray codes for permutations (Wells' order and a variant of it), CAT algorithm.

arg 1: 5 == n  [Number of elements to permute]  default=5
arg 2: 0 == r  [Ordering:
    0 ==> Wells' order == Lipski(8),
    1 ==> Lipski(14),
    2 ==> Lipski(15)]  default=0

   1:    [ . 1 2 3 4 ]     (0, 0)     [ . . . . ]        [ . 1 2 3 4 ]
   2:    [ 1 . 2 3 4 ]     (1, 0)     [ 1 . . . ]        [ 1 . 2 3 4 ]
   3:    [ 1 2 . 3 4 ]     (2, 1)     [ . 1 . . ]        [ 2 . 1 3 4 ]
   4:    [ 2 1 . 3 4 ]     (1, 0)     [ 1 1 . . ]        [ 2 1 . 3 4 ]
   5:    [ 2 . 1 3 4 ]     (2, 1)     [ . 2 . . ]        [ 1 2 . 3 4 ]
   6:    [ . 2 1 3 4 ]     (1, 0)     [ 1 2 . . ]        [ . 2 1 3 4 ]
   7:    [ . 2 3 1 4 ]     (3, 2)     [ . . 1 . ]        [ . 3 1 2 4 ]
   8:    [ 2 . 3 1 4 ]     (1, 0)     [ 1 . 1 . ]        [ 1 3 . 2 4 ]
   9:    [ 2 3 . 1 4 ]     (2, 1)     [ . 1 1 . ]        [ 2 3 . 1 4 ]
  10:    [ 3 2 . 1 4 ]     (1, 0)     [ 1 1 1 . ]        [ 2 3 1 . 4 ]
  11:    [ 3 . 2 1 4 ]     (2, 1)     [ . 2 1 . ]        [ 1 3 2 . 4 ]
  12:    [ . 3 2 1 4 ]     (1, 0)     [ 1 2 1 . ]        [ . 3 2 1 4 ]
  13:    [ . 3 1 2 4 ]     (3, 2)     [ . . 2 . ]        [ . 2 3 1 4 ]
  14:    [ 3 . 1 2 4 ]     (1, 0)     [ 1 . 2 . ]        [ 1 2 3 . 4 ]
  15:    [ 3 1 . 2 4 ]     (2, 1)     [ . 1 2 . ]        [ 2 1 3 . 4 ]
  16:    [ 1 3 . 2 4 ]     (1, 0)     [ 1 1 2 . ]        [ 2 . 3 1 4 ]
  17:    [ 1 . 3 2 4 ]     (2, 1)     [ . 2 2 . ]        [ 1 . 3 2 4 ]
  18:    [ . 1 3 2 4 ]     (1, 0)     [ 1 2 2 . ]        [ . 1 3 2 4 ]
  19:    [ 2 1 3 . 4 ]     (3, 0)     [ . . 3 . ]        [ 3 1 . 2 4 ]
  20:    [ 1 2 3 . 4 ]     (1, 0)     [ 1 . 3 . ]        [ 3 . 1 2 4 ]
  21:    [ 1 3 2 . 4 ]     (2, 1)     [ . 1 3 . ]        [ 3 . 2 1 4 ]
  22:    [ 3 1 2 . 4 ]     (1, 0)     [ 1 1 3 . ]        [ 3 1 2 . 4 ]
  23:    [ 3 2 1 . 4 ]     (2, 1)     [ . 2 3 . ]        [ 3 2 1 . 4 ]
  24:    [ 2 3 1 . 4 ]     (1, 0)     [ 1 2 3 . ]        [ 3 2 . 1 4 ]
  25:    [ 2 3 1 4 . ]     (4, 3)     [ . . . 1 ]        [ 4 2 . 1 3 ]
  26:    [ 3 2 1 4 . ]     (1, 0)     [ 1 . . 1 ]        [ 4 2 1 . 3 ]
  27:    [ 3 1 2 4 . ]     (2, 1)     [ . 1 . 1 ]        [ 4 1 2 . 3 ]
  28:    [ 1 3 2 4 . ]     (1, 0)     [ 1 1 . 1 ]        [ 4 . 2 1 3 ]
  29:    [ 1 2 3 4 . ]     (2, 1)     [ . 2 . 1 ]        [ 4 . 1 2 3 ]
  30:    [ 2 1 3 4 . ]     (1, 0)     [ 1 2 . 1 ]        [ 4 1 . 2 3 ]
  31:    [ 2 1 4 3 . ]     (3, 2)     [ . . 1 1 ]        [ 4 1 . 3 2 ]
  32:    [ 1 2 4 3 . ]     (1, 0)     [ 1 . 1 1 ]        [ 4 . 1 3 2 ]
  33:    [ 1 4 2 3 . ]     (2, 1)     [ . 1 1 1 ]        [ 4 . 2 3 1 ]
  34:    [ 4 1 2 3 . ]     (1, 0)     [ 1 1 1 1 ]        [ 4 1 2 3 . ]
  35:    [ 4 2 1 3 . ]     (2, 1)     [ . 2 1 1 ]        [ 4 2 1 3 . ]
  36:    [ 2 4 1 3 . ]     (1, 0)     [ 1 2 1 1 ]        [ 4 2 . 3 1 ]
  37:    [ 2 4 3 1 . ]     (3, 2)     [ . . 2 1 ]        [ 4 3 . 2 1 ]
  38:    [ 4 2 3 1 . ]     (1, 0)     [ 1 . 2 1 ]        [ 4 3 1 2 . ]
  39:    [ 4 3 2 1 . ]     (2, 1)     [ . 1 2 1 ]        [ 4 3 2 1 . ]
  40:    [ 3 4 2 1 . ]     (1, 0)     [ 1 1 2 1 ]        [ 4 3 2 . 1 ]
  41:    [ 3 2 4 1 . ]     (2, 1)     [ . 2 2 1 ]        [ 4 3 1 . 2 ]
  42:    [ 2 3 4 1 . ]     (1, 0)     [ 1 2 2 1 ]        [ 4 3 . 1 2 ]
