// output of ./demo/comb/perm-st-gray-demo.cc:
// Description:
//% Gray code for single track permutations:
//% one transposition per update with odd n,
//% one extra transposition once in (n-1)! updates with even n (optimal).

arg 1: 5 == n  [Permutations of n elements (n>=2).]  default=5
   1:    [ . 1 2 3 4 ]    [ . 1 2 3 4 ]
   2:    [ 1 . 2 3 4 ]    [ 1 . 2 3 4 ]
   3:    [ 2 . 1 3 4 ]    [ 1 2 . 3 4 ]
   4:    [ . 2 1 3 4 ]    [ . 2 1 3 4 ]
   5:    [ 1 2 . 3 4 ]    [ 2 . 1 3 4 ]
   6:    [ 2 1 . 3 4 ]    [ 2 1 . 3 4 ]
   7:    [ 3 1 . 2 4 ]    [ 2 1 3 . 4 ]
   8:    [ 1 3 . 2 4 ]    [ 2 . 3 1 4 ]
   9:    [ . 3 1 2 4 ]    [ . 2 3 1 4 ]
  10:    [ 3 . 1 2 4 ]    [ 1 2 3 . 4 ]
  11:    [ 1 . 3 2 4 ]    [ 1 . 3 2 4 ]
  12:    [ . 1 3 2 4 ]    [ . 1 3 2 4 ]
  13:    [ . 2 3 1 4 ]    [ . 3 1 2 4 ]
  14:    [ 2 . 3 1 4 ]    [ 1 3 . 2 4 ]
  15:    [ 3 . 2 1 4 ]    [ 1 3 2 . 4 ]
  16:    [ . 3 2 1 4 ]    [ . 3 2 1 4 ]
  17:    [ 2 3 . 1 4 ]    [ 2 3 . 1 4 ]
  18:    [ 3 2 . 1 4 ]    [ 2 3 1 . 4 ]
  19:    [ 3 2 1 . 4 ]    [ 3 2 1 . 4 ]
  20:    [ 2 3 1 . 4 ]    [ 3 2 . 1 4 ]
  21:    [ 1 3 2 . 4 ]    [ 3 . 2 1 4 ]
  22:    [ 3 1 2 . 4 ]    [ 3 1 2 . 4 ]
  23:    [ 2 1 3 . 4 ]    [ 3 1 . 2 4 ]
  24:    [ 1 2 3 . 4 ]    [ 3 . 1 2 4 ]
  25:    [ 1 2 3 4 . ]    [ 4 . 1 2 3 ]
  26:    [ . 2 3 4 1 ]    [ . 4 1 2 3 ]
  27:    [ . 1 3 4 2 ]    [ . 1 4 2 3 ]
  28:    [ 2 1 3 4 . ]    [ 4 1 . 2 3 ]
  29:    [ 2 . 3 4 1 ]    [ 1 4 . 2 3 ]
  30:    [ 1 . 3 4 2 ]    [ 1 . 4 2 3 ]
  31:    [ 1 . 2 4 3 ]    [ 1 . 2 4 3 ]
  32:    [ 3 . 2 4 1 ]    [ 1 4 2 . 3 ]
  33:    [ 3 1 2 4 . ]    [ 4 1 2 . 3 ]
  34:    [ . 1 2 4 3 ]    [ . 1 2 4 3 ]
  35:    [ . 3 2 4 1 ]    [ . 4 2 1 3 ]
  36:    [ 1 3 2 4 . ]    [ 4 . 2 1 3 ]
  37:    [ 2 3 1 4 . ]    [ 4 2 . 1 3 ]
  38:    [ . 3 1 4 2 ]    [ . 2 4 1 3 ]
  39:    [ . 2 1 4 3 ]    [ . 2 1 4 3 ]
