#
# Complete list of primitive polynomials over GF(2)
# of the form  x^d + \sum_{k=0}^{q}{x^q}
#   where q<d  and d<=400
# All entries from the second-highest power of
# x to x^0==1 are omitted, i.e. the entry
#   16,5  should be read as
# 16,5,4,3,2,1,0 == x^16+x^5+x^4+x^3+x^2+x+1
#.
# Generated by Joerg Arndt, 2003-March-04
#

2,1
3,1
4,1
5,3
6,1
7,1
7,3
7,5
10,7
13,11
15,1
15,13
16,5
17,3
17,5
18,5
18,11
19,5
20,9
20,17
21,5
21,13
22,1
23,5
23,11
23,21
25,3
25,7
25,13
25,21
26,11
26,21
28,11
28,17
31,3
31,7
31,17
31,23
31,27
33,19
34,25
34,29
36,29
37,5
37,35
39,17
39,29
39,31
41,3
41,11
42,5
42,23
43,13
47,11
47,33
47,39
47,41
47,45
49,15
49,17
49,19
50,9
50,29
50,47
52,9
52,27
52,31
52,33
55,39
57,29
57,35
57,49
58,21
58,35
58,41
58,47
60,1
60,13
60,29
61,5
63,1
63,25
63,31
63,37
68,53
68,59
71,27
71,29
73,21
73,31
73,41
73,47
73,51
73,61
74,35
74,57
76,59
76,65
76,73
79,37
79,39
79,65
81,61
81,71
82,39
82,45
82,69
84,25
85,83
87,19
87,23
87,47
87,65
88,29
89,11
89,45
91,17
92,65
92,89
94,37
95,27
95,77
95,89
97,13
97,25
97,29
97,53
97,63
97,65
97,93
98,29
98,41
100,37
100,39
103,31
103,61
103,75
103,77
105,53
105,61
105,67
105,97
106,61
106,65
108,31
108,55
108,61
111,11
111,65
111,71
111,77
111,85
111,97
111,107
113,15
113,41
113,51
113,105
113,107
114,61
116,111
116,113
117,17
119,9
119,27
119,47
119,99
119,107
121,35
121,57
121,71
124,25
127,1
127,7
127,15
127,33
127,35
127,49
127,57
127,63
127,65
127,75
127,99
127,105
127,111
127,119
127,125
129,31
129,61
129,91
130,89
130,103
130,127
132,35
132,43
132,95
132,125
133,13
135,41
135,43
135,67
137,17
138,11
138,119
140,87
143,17
143,41
145,21
145,49
145,103
146,21
146,141
147,5
147,13
148,61
148,121
148,125
150,37
151,3
151,15
151,31
151,45
151,63
151,83
151,147
152,21
152,101
153,1
153,49
153,79
154,27
154,59
154,75
154,97
154,115
155,9
156,43
159,11
159,17
159,31
159,89
159,151
161,53
161,99
161,101
164,147
165,29
167,9
167,95
167,105
169,127
169,159
170,9
170,161
171,5
172,7
172,33
172,99
172,123
175,123
175,169
177,53
177,67
177,89
177,167
177,169
177,173
178,51
178,111
178,121
178,145
183,49
183,71
183,125
183,127
183,181
185,69
186,113
188,81
188,95
191,29
191,105
191,159
193,15
193,59
193,161
194,101
194,171
196,27
196,117
196,167
199,35
199,59
199,129
199,171
199,185
201,47
201,125
201,173
202,37
202,51
202,113
202,139
202,179
205,9
206,45
207,101
208,21
209,17
209,29
210,59
210,163
210,191
212,95
212,131
212,173
215,63
215,119
215,161
215,209
217,59
217,95
217,135
218,51
218,77
223,41
223,51
223,147
223,149
223,153
223,191
226,55
226,65
226,93
226,145
226,179
228,223
231,73
233,77
233,179
233,191
233,201
234,19
234,31
236,39
236,45
239,5
239,21
239,29
241,91
241,115
241,125
241,133
241,227
242,59
242,167
242,185
243,161
244,109
244,217
247,27
247,69
247,103
247,145
247,211
247,239
249,89
249,169
252,25
252,55
253,5
253,13
255,79
255,103
257,153
257,173
258,65
258,133
260,149
260,251
263,137
263,183
263,239
265,69
265,127
265,149
265,157
265,191
266,17
266,33
266,167
266,243
268,81
268,85
268,117
268,123
268,141
268,165
271,55
271,125
271,145
271,207
271,209
271,245
273,103
273,107
273,155
273,163
273,187
274,27
274,107
276,133
276,149
276,191
277,45
278,185
279,137
279,167
279,169
279,269
281,41
281,117
281,183
281,195
281,239
281,257
282,43
282,107
282,119
282,209
282,257
282,259
284,117
284,179
287,17
287,93
287,135
287,155
287,159
287,221
289,189
289,265
290,47
290,269
292,151
292,203
292,207
295,89
295,149
295,231
295,251
298,33
298,241
298,267
298,269
299,45
302,5
302,201
303,11
303,209
303,253
303,281
304,5
305,11
305,161
306,61
306,125
306,251
306,301
308,125
311,285
313,41
313,215
313,245
313,297
314,147
314,239
316,161
316,225
319,17
319,27
319,49
319,95
319,115
319,147
319,157
319,171
319,287
321,31
322,263
322,275
324,197
324,287
327,13
327,95
327,313
329,69
329,131
329,179
329,239
329,309
332,45
332,149
332,245
332,273
333,5
337,35
337,111
337,155
337,237
337,247
337,329
338,93
338,233
340,169
340,243
343,95
343,103
343,125
343,291
343,313
345,11
345,61
345,91
345,113
348,115
348,311
350,17
351,61
351,71
351,107
351,191
351,337
353,203
353,209
354,115
354,209
356,213
357,101
359,69
359,81
359,189
359,219
359,347
361,241
361,253
364,29
364,81
365,363
367,27
369,101
370,79
370,119
370,321
372,167
372,245
375,43
375,181
375,187
377,23
377,35
377,41
377,269
377,363
378,149
378,179
378,347
380,33
380,137
383,305
383,315
383,333
383,363
383,381
385,73
385,103
385,303
385,313
386,9
386,75
386,195
386,219
386,293
386,359
388,299
391,31
391,93
391,163
391,193
391,247
391,281
391,347
391,363
393,79
393,121
394,81
394,287
394,377
394,385
396,161
396,179
397,21
399,25
399,199
399,221
399,271
