// output of ./demo/comb/fact2cyclic-demo.cc:
// Description:
//% Generate all cyclic permutations from mixed radix numbers.

arg 1: 5 == n  [Number of elements to permute]  default=5
arg 2: 0 == rq  [Whether to use rising base with mixed radix counting]  default=0
 Nines: [ 3 2 1 ]
    [ . . . ]    [ 1 2 3 4 0 ]    (0, 1, 2, 3, 4)    [ 4 0 1 2 3 ]
    [ 1 . . ]    [ 4 2 3 0 1 ]    (0, 4, 1, 2, 3)    [ 3 4 1 2 0 ]
    [ 2 . . ]    [ 1 4 3 0 2 ]    (0, 1, 4, 2, 3)    [ 3 0 4 2 1 ]
    [ 3 . . ]    [ 1 2 4 0 3 ]    (0, 1, 2, 4, 3)    [ 3 0 1 4 2 ]
    [ . 1 . ]    [ 3 2 4 1 0 ]    (0, 3, 1, 2, 4)    [ 4 3 1 0 2 ]
    [ 1 1 . ]    [ 3 2 0 4 1 ]    (0, 3, 4, 1, 2)    [ 2 4 1 0 3 ]
    [ 2 1 . ]    [ 3 4 0 1 2 ]    (0, 3, 1, 4, 2)    [ 2 3 4 0 1 ]
    [ 3 1 . ]    [ 4 2 0 1 3 ]    (0, 4, 3, 1, 2)    [ 2 3 1 4 0 ]
    [ . 2 . ]    [ 1 3 4 2 0 ]    (0, 1, 3, 2, 4)    [ 4 0 3 1 2 ]
    [ 1 2 . ]    [ 4 3 0 2 1 ]    (0, 4, 1, 3, 2)    [ 2 4 3 1 0 ]
    [ 2 2 . ]    [ 1 3 0 4 2 ]    (0, 1, 3, 4, 2)    [ 2 0 4 1 3 ]
    [ 3 2 . ]    [ 1 4 0 2 3 ]    (0, 1, 4, 3, 2)    [ 2 0 3 4 1 ]
    [ . . 1 ]    [ 2 3 1 4 0 ]    (0, 2, 1, 3, 4)    [ 4 2 0 1 3 ]
    [ 1 . 1 ]    [ 2 3 4 0 1 ]    (0, 2, 4, 1, 3)    [ 3 4 0 1 2 ]
    [ 2 . 1 ]    [ 4 3 1 0 2 ]    (0, 4, 2, 1, 3)    [ 3 2 4 1 0 ]
    [ 3 . 1 ]    [ 2 4 1 0 3 ]    (0, 2, 1, 4, 3)    [ 3 2 0 4 1 ]
    [ . 1 1 ]    [ 2 4 3 1 0 ]    (0, 2, 3, 1, 4)    [ 4 3 0 2 1 ]
    [ 1 1 1 ]    [ 2 0 3 4 1 ]    (0, 2, 3, 4, 1)    [ 1 4 0 2 3 ]
    [ 2 1 1 ]    [ 4 0 3 1 2 ]    (0, 4, 2, 3, 1)    [ 1 3 4 2 0 ]
    [ 3 1 1 ]    [ 2 0 4 1 3 ]    (0, 2, 4, 3, 1)    [ 1 3 0 4 2 ]
    [ . 2 1 ]    [ 3 4 1 2 0 ]    (0, 3, 2, 1, 4)    [ 4 2 3 0 1 ]
    [ 1 2 1 ]    [ 3 0 4 2 1 ]    (0, 3, 2, 4, 1)    [ 1 4 3 0 2 ]
    [ 2 2 1 ]    [ 3 0 1 4 2 ]    (0, 3, 4, 2, 1)    [ 1 2 4 0 3 ]
    [ 3 2 1 ]    [ 4 0 1 2 3 ]    (0, 4, 3, 2, 1)    [ 1 2 3 4 0 ]
