// output of ./demo/comb/ffact2kperm-demo.cc:
// Description:
//% Generate all k-permutations of n elements from falling factorial numbers.

arg 1: 5 == n  [Total of n elements]  default=5
arg 2: 3 == k  [Permutations of k elements (1<=k<=n)]  default=3
 C.N=60
   0:    [ . . . . ]    [ . 1 2 ][ 3 4 ]
   1:    [ 1 . . . ]    [ 1 . 2 ][ 3 4 ]
   2:    [ 2 . . . ]    [ 2 . 1 ][ 3 4 ]
   3:    [ 3 . . . ]    [ 3 . 1 ][ 2 4 ]
   4:    [ 4 . . . ]    [ 4 . 1 ][ 2 3 ]
   5:    [ . 1 . . ]    [ . 2 1 ][ 3 4 ]
   6:    [ 1 1 . . ]    [ 1 2 . ][ 3 4 ]
   7:    [ 2 1 . . ]    [ 2 1 . ][ 3 4 ]
   8:    [ 3 1 . . ]    [ 3 1 . ][ 2 4 ]
   9:    [ 4 1 . . ]    [ 4 1 . ][ 2 3 ]
  10:    [ . 2 . . ]    [ . 3 1 ][ 2 4 ]
  11:    [ 1 2 . . ]    [ 1 3 . ][ 2 4 ]
  12:    [ 2 2 . . ]    [ 2 3 . ][ 1 4 ]
  13:    [ 3 2 . . ]    [ 3 2 . ][ 1 4 ]
  14:    [ 4 2 . . ]    [ 4 2 . ][ 1 3 ]
  15:    [ . 3 . . ]    [ . 4 1 ][ 2 3 ]
  16:    [ 1 3 . . ]    [ 1 4 . ][ 2 3 ]
  17:    [ 2 3 . . ]    [ 2 4 . ][ 1 3 ]
  18:    [ 3 3 . . ]    [ 3 4 . ][ 1 2 ]
  19:    [ 4 3 . . ]    [ 4 3 . ][ 1 2 ]
  20:    [ . . 1 . ]    [ . 1 3 ][ 2 4 ]
  21:    [ 1 . 1 . ]    [ 1 . 3 ][ 2 4 ]
  22:    [ 2 . 1 . ]    [ 2 . 3 ][ 1 4 ]
  23:    [ 3 . 1 . ]    [ 3 . 2 ][ 1 4 ]
  24:    [ 4 . 1 . ]    [ 4 . 2 ][ 1 3 ]
  25:    [ . 1 1 . ]    [ . 2 3 ][ 1 4 ]
  26:    [ 1 1 1 . ]    [ 1 2 3 ][ . 4 ]
  27:    [ 2 1 1 . ]    [ 2 1 3 ][ . 4 ]
  28:    [ 3 1 1 . ]    [ 3 1 2 ][ . 4 ]
  29:    [ 4 1 1 . ]    [ 4 1 2 ][ . 3 ]
  30:    [ . 2 1 . ]    [ . 3 2 ][ 1 4 ]
  31:    [ 1 2 1 . ]    [ 1 3 2 ][ . 4 ]
  32:    [ 2 2 1 . ]    [ 2 3 1 ][ . 4 ]
  33:    [ 3 2 1 . ]    [ 3 2 1 ][ . 4 ]
  34:    [ 4 2 1 . ]    [ 4 2 1 ][ . 3 ]
  35:    [ . 3 1 . ]    [ . 4 2 ][ 1 3 ]
  36:    [ 1 3 1 . ]    [ 1 4 2 ][ . 3 ]
  37:    [ 2 3 1 . ]    [ 2 4 1 ][ . 3 ]
  38:    [ 3 3 1 . ]    [ 3 4 1 ][ . 2 ]
  39:    [ 4 3 1 . ]    [ 4 3 1 ][ . 2 ]
  40:    [ . . 2 . ]    [ . 1 4 ][ 2 3 ]
  41:    [ 1 . 2 . ]    [ 1 . 4 ][ 2 3 ]
  42:    [ 2 . 2 . ]    [ 2 . 4 ][ 1 3 ]
  43:    [ 3 . 2 . ]    [ 3 . 4 ][ 1 2 ]
  44:    [ 4 . 2 . ]    [ 4 . 3 ][ 1 2 ]
  45:    [ . 1 2 . ]    [ . 2 4 ][ 1 3 ]
  46:    [ 1 1 2 . ]    [ 1 2 4 ][ . 3 ]
  47:    [ 2 1 2 . ]    [ 2 1 4 ][ . 3 ]
  48:    [ 3 1 2 . ]    [ 3 1 4 ][ . 2 ]
  49:    [ 4 1 2 . ]    [ 4 1 3 ][ . 2 ]
  50:    [ . 2 2 . ]    [ . 3 4 ][ 1 2 ]
  51:    [ 1 2 2 . ]    [ 1 3 4 ][ . 2 ]
  52:    [ 2 2 2 . ]    [ 2 3 4 ][ . 1 ]
  53:    [ 3 2 2 . ]    [ 3 2 4 ][ . 1 ]
  54:    [ 4 2 2 . ]    [ 4 2 3 ][ . 1 ]
  55:    [ . 3 2 . ]    [ . 4 3 ][ 1 2 ]
  56:    [ 1 3 2 . ]    [ 1 4 3 ][ . 2 ]
  57:    [ 2 3 2 . ]    [ 2 4 3 ][ . 1 ]
  58:    [ 3 3 2 . ]    [ 3 4 2 ][ . 1 ]
  59:    [ 4 3 2 . ]    [ 4 3 2 ][ . 1 ]
