// output of ./demo/comb/mixedradix-gslex-demo.cc:
// Description:
//% Mixed radix numbers in gslex (generalized subset lex) order.

arg 1: 3 == n  [Number of digits]  default=3
arg 2: 4 == rr  [Base (radix) of digits (0==>falling factorial, 1==>rising factorial)]  default=4
args 3,4,... : [Optionally supply radix for all digits (rr ignored)]
Nines: [ 3 3 3 ]
    0:      [ 1 . . ]    { 0 }
    1:      [ 2 . . ]    { 00 }
    2:      [ 3 . . ]    { 000 }
    3:      [ 1 1 . ]    { 01 }
    4:      [ 2 1 . ]    { 001 }
    5:      [ 3 1 . ]    { 0001 }
    6:      [ . 1 . ]    { 1 }
    7:      [ 1 2 . ]    { 011 }
    8:      [ 2 2 . ]    { 0011 }
    9:      [ 3 2 . ]    { 00011 }
   10:      [ . 2 . ]    { 11 }
   11:      [ 1 3 . ]    { 0111 }
   12:      [ 2 3 . ]    { 00111 }
   13:      [ 3 3 . ]    { 000111 }
   14:      [ . 3 . ]    { 111 }
   15:      [ 1 . 1 ]    { 02 }
   16:      [ 2 . 1 ]    { 002 }
   17:      [ 3 . 1 ]    { 0002 }
   18:      [ 1 1 1 ]    { 012 }
   19:      [ 2 1 1 ]    { 0012 }
   20:      [ 3 1 1 ]    { 00012 }
   21:      [ . 1 1 ]    { 12 }
   22:      [ 1 2 1 ]    { 0112 }
   23:      [ 2 2 1 ]    { 00112 }
   24:      [ 3 2 1 ]    { 000112 }
   25:      [ . 2 1 ]    { 112 }
   26:      [ 1 3 1 ]    { 01112 }
   27:      [ 2 3 1 ]    { 001112 }
   28:      [ 3 3 1 ]    { 0001112 }
   29:      [ . 3 1 ]    { 1112 }
   30:      [ . . 1 ]    { 2 }
   31:      [ 1 . 2 ]    { 022 }
   32:      [ 2 . 2 ]    { 0022 }
   33:      [ 3 . 2 ]    { 00022 }
   34:      [ 1 1 2 ]    { 0122 }
   35:      [ 2 1 2 ]    { 00122 }
   36:      [ 3 1 2 ]    { 000122 }
   37:      [ . 1 2 ]    { 122 }
   38:      [ 1 2 2 ]    { 01122 }
   39:      [ 2 2 2 ]    { 001122 }
   40:      [ 3 2 2 ]    { 0001122 }
   41:      [ . 2 2 ]    { 1122 }
   42:      [ 1 3 2 ]    { 011122 }
   43:      [ 2 3 2 ]    { 0011122 }
   44:      [ 3 3 2 ]    { 00011122 }
   45:      [ . 3 2 ]    { 11122 }
   46:      [ . . 2 ]    { 22 }
   47:      [ 1 . 3 ]    { 0222 }
   48:      [ 2 . 3 ]    { 00222 }
   49:      [ 3 . 3 ]    { 000222 }
   50:      [ 1 1 3 ]    { 01222 }
   51:      [ 2 1 3 ]    { 001222 }
   52:      [ 3 1 3 ]    { 0001222 }
   53:      [ . 1 3 ]    { 1222 }
   54:      [ 1 2 3 ]    { 011222 }
   55:      [ 2 2 3 ]    { 0011222 }
   56:      [ 3 2 3 ]    { 00011222 }
   57:      [ . 2 3 ]    { 11222 }
   58:      [ 1 3 3 ]    { 0111222 }
   59:      [ 2 3 3 ]    { 00111222 }
   60:      [ 3 3 3 ]    { 000111222 }
   61:      [ . 3 3 ]    { 111222 }
   62:      [ . . 3 ]    { 222 }
   63:      [ . . . ]    {  }
 ct=64
