// output of ./demo/comb/mixedradix-rfact-demo.cc:
// Description:
//% Counting in rising factorial base,
//% special case of mixed radix counting.

arg 1: 4 == n  [Number of digits]  default=4

    0:      [ . . . . ]   3
    1:      [ 1 . . . ]   0
    2:      [ . 1 . . ]   1
    3:      [ 1 1 . . ]   0
    4:      [ . 2 . . ]   1
    5:      [ 1 2 . . ]   0
    6:      [ . . 1 . ]   2
    7:      [ 1 . 1 . ]   0
    8:      [ . 1 1 . ]   1
    9:      [ 1 1 1 . ]   0
   10:      [ . 2 1 . ]   1
   11:      [ 1 2 1 . ]   0
   12:      [ . . 2 . ]   2
   13:      [ 1 . 2 . ]   0
   14:      [ . 1 2 . ]   1
   15:      [ 1 1 2 . ]   0
   16:      [ . 2 2 . ]   1
   17:      [ 1 2 2 . ]   0
   18:      [ . . 3 . ]   2
   19:      [ 1 . 3 . ]   0
   20:      [ . 1 3 . ]   1
   21:      [ 1 1 3 . ]   0
   22:      [ . 2 3 . ]   1
   23:      [ 1 2 3 . ]   0
   24:      [ . . . 1 ]   3
   25:      [ 1 . . 1 ]   0
   26:      [ . 1 . 1 ]   1
   27:      [ 1 1 . 1 ]   0
   28:      [ . 2 . 1 ]   1
   29:      [ 1 2 . 1 ]   0
   30:      [ . . 1 1 ]   2
   31:      [ 1 . 1 1 ]   0
   32:      [ . 1 1 1 ]   1
   33:      [ 1 1 1 1 ]   0
   34:      [ . 2 1 1 ]   1
   35:      [ 1 2 1 1 ]   0
   36:      [ . . 2 1 ]   2
   37:      [ 1 . 2 1 ]   0
   38:      [ . 1 2 1 ]   1
   39:      [ 1 1 2 1 ]   0
   40:      [ . 2 2 1 ]   1
   41:      [ 1 2 2 1 ]   0
   42:      [ . . 3 1 ]   2
   43:      [ 1 . 3 1 ]   0
   44:      [ . 1 3 1 ]   1
   45:      [ 1 1 3 1 ]   0
   46:      [ . 2 3 1 ]   1
   47:      [ 1 2 3 1 ]   0
   48:      [ . . . 2 ]   3
   49:      [ 1 . . 2 ]   0
   50:      [ . 1 . 2 ]   1
   51:      [ 1 1 . 2 ]   0
   52:      [ . 2 . 2 ]   1
   53:      [ 1 2 . 2 ]   0
   54:      [ . . 1 2 ]   2
   55:      [ 1 . 1 2 ]   0
   56:      [ . 1 1 2 ]   1
   57:      [ 1 1 1 2 ]   0
   58:      [ . 2 1 2 ]   1
   59:      [ 1 2 1 2 ]   0
   60:      [ . . 2 2 ]   2
   61:      [ 1 . 2 2 ]   0
   62:      [ . 1 2 2 ]   1
   63:      [ 1 1 2 2 ]   0
   64:      [ . 2 2 2 ]   1
   65:      [ 1 2 2 2 ]   0
   66:      [ . . 3 2 ]   2
   67:      [ 1 . 3 2 ]   0
   68:      [ . 1 3 2 ]   1
   69:      [ 1 1 3 2 ]   0
   70:      [ . 2 3 2 ]   1
   71:      [ 1 2 3 2 ]   0
   72:      [ . . . 3 ]   3
   73:      [ 1 . . 3 ]   0
   74:      [ . 1 . 3 ]   1
   75:      [ 1 1 . 3 ]   0
   76:      [ . 2 . 3 ]   1
   77:      [ 1 2 . 3 ]   0
   78:      [ . . 1 3 ]   2
   79:      [ 1 . 1 3 ]   0
   80:      [ . 1 1 3 ]   1
   81:      [ 1 1 1 3 ]   0
   82:      [ . 2 1 3 ]   1
   83:      [ 1 2 1 3 ]   0
   84:      [ . . 2 3 ]   2
   85:      [ 1 . 2 3 ]   0
   86:      [ . 1 2 3 ]   1
   87:      [ 1 1 2 3 ]   0
   88:      [ . 2 2 3 ]   1
   89:      [ 1 2 2 3 ]   0
   90:      [ . . 3 3 ]   2
   91:      [ 1 . 3 3 ]   0
   92:      [ . 1 3 3 ]   1
   93:      [ 1 1 3 3 ]   0
   94:      [ . 2 3 3 ]   1
   95:      [ 1 2 3 3 ]   0
   96:      [ . . . 4 ]   3
   97:      [ 1 . . 4 ]   0
   98:      [ . 1 . 4 ]   1
   99:      [ 1 1 . 4 ]   0
  100:      [ . 2 . 4 ]   1
  101:      [ 1 2 . 4 ]   0
  102:      [ . . 1 4 ]   2
  103:      [ 1 . 1 4 ]   0
  104:      [ . 1 1 4 ]   1
  105:      [ 1 1 1 4 ]   0
  106:      [ . 2 1 4 ]   1
  107:      [ 1 2 1 4 ]   0
  108:      [ . . 2 4 ]   2
  109:      [ 1 . 2 4 ]   0
  110:      [ . 1 2 4 ]   1
  111:      [ 1 1 2 4 ]   0
  112:      [ . 2 2 4 ]   1
  113:      [ 1 2 2 4 ]   0
  114:      [ . . 3 4 ]   2
  115:      [ 1 . 3 4 ]   0
  116:      [ . 1 3 4 ]   1
  117:      [ 1 1 3 4 ]   0
  118:      [ . 2 3 4 ]   1
  119:      [ 1 2 3 4 ]   0
 ct=120
