// output of ./demo/comb/partition-dist-asc-len-demo.cc:
// Description:
//% Integer partitions into distinct parts.
//% Representation as list of parts in increasing order.
//% Major order by number of parts, minor order lexicographic.
//% Cf. OEIS sequence A000009.

arg 1: 19 == n  [integer partitions of n into distinct parts]  default=19
   1:  [ 19 ]
   2:  [ 1 18 ]
   3:  [ 2 17 ]
   4:  [ 3 16 ]
   5:  [ 4 15 ]
   6:  [ 5 14 ]
   7:  [ 6 13 ]
   8:  [ 7 12 ]
   9:  [ 8 11 ]
  10:  [ 9 10 ]
  11:  [ 1 2 16 ]
  12:  [ 1 3 15 ]
  13:  [ 1 4 14 ]
  14:  [ 1 5 13 ]
  15:  [ 1 6 12 ]
  16:  [ 1 7 11 ]
  17:  [ 1 8 10 ]
  18:  [ 2 3 14 ]
  19:  [ 2 4 13 ]
  20:  [ 2 5 12 ]
  21:  [ 2 6 11 ]
  22:  [ 2 7 10 ]
  23:  [ 2 8 9 ]
  24:  [ 3 4 12 ]
  25:  [ 3 5 11 ]
  26:  [ 3 6 10 ]
  27:  [ 3 7 9 ]
  28:  [ 4 5 10 ]
  29:  [ 4 6 9 ]
  30:  [ 4 7 8 ]
  31:  [ 5 6 8 ]
  32:  [ 1 2 3 13 ]
  33:  [ 1 2 4 12 ]
  34:  [ 1 2 5 11 ]
  35:  [ 1 2 6 10 ]
  36:  [ 1 2 7 9 ]
  37:  [ 1 3 4 11 ]
  38:  [ 1 3 5 10 ]
  39:  [ 1 3 6 9 ]
  40:  [ 1 3 7 8 ]
  41:  [ 1 4 5 9 ]
  42:  [ 1 4 6 8 ]
  43:  [ 1 5 6 7 ]
  44:  [ 2 3 4 10 ]
  45:  [ 2 3 5 9 ]
  46:  [ 2 3 6 8 ]
  47:  [ 2 4 5 8 ]
  48:  [ 2 4 6 7 ]
  49:  [ 3 4 5 7 ]
  50:  [ 1 2 3 4 9 ]
  51:  [ 1 2 3 5 8 ]
  52:  [ 1 2 3 6 7 ]
  53:  [ 1 2 4 5 7 ]
  54:  [ 1 3 4 5 6 ]
 ct=54
