// output of ./demo/comb/partition-odd-desc-demo.cc:
// Description:
//% Integer partitions into odd parts as weakly descending list of parts.
//% Cf. OEIS sequence A000009.

arg 1: 18 == n  [integer partitions of n]  default=18
  1:  [18]   [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  2:  [16]   [ 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  3:  [14]   [ 3 3 1 1 1 1 1 1 1 1 1 1 1 1 ]
  4:  [12]   [ 3 3 3 1 1 1 1 1 1 1 1 1 ]
  5:  [10]   [ 3 3 3 3 1 1 1 1 1 1 ]
  6:  [ 8]   [ 3 3 3 3 3 1 1 1 ]
  7:  [ 6]   [ 3 3 3 3 3 3 ]
  8:  [14]   [ 5 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  9:  [12]   [ 5 3 1 1 1 1 1 1 1 1 1 1 ]
 10:  [10]   [ 5 3 3 1 1 1 1 1 1 1 ]
 11:  [ 8]   [ 5 3 3 3 1 1 1 1 ]
 12:  [ 6]   [ 5 3 3 3 3 1 ]
 13:  [10]   [ 5 5 1 1 1 1 1 1 1 1 ]
 14:  [ 8]   [ 5 5 3 1 1 1 1 1 ]
 15:  [ 6]   [ 5 5 3 3 1 1 ]
 16:  [ 6]   [ 5 5 5 1 1 1 ]
 17:  [ 4]   [ 5 5 5 3 ]
 18:  [12]   [ 7 1 1 1 1 1 1 1 1 1 1 1 ]
 19:  [10]   [ 7 3 1 1 1 1 1 1 1 1 ]
 20:  [ 8]   [ 7 3 3 1 1 1 1 1 ]
 21:  [ 6]   [ 7 3 3 3 1 1 ]
 22:  [ 8]   [ 7 5 1 1 1 1 1 1 ]
 23:  [ 6]   [ 7 5 3 1 1 1 ]
 24:  [ 4]   [ 7 5 3 3 ]
 25:  [ 4]   [ 7 5 5 1 ]
 26:  [ 6]   [ 7 7 1 1 1 1 ]
 27:  [ 4]   [ 7 7 3 1 ]
 28:  [10]   [ 9 1 1 1 1 1 1 1 1 1 ]
 29:  [ 8]   [ 9 3 1 1 1 1 1 1 ]
 30:  [ 6]   [ 9 3 3 1 1 1 ]
 31:  [ 4]   [ 9 3 3 3 ]
 32:  [ 6]   [ 9 5 1 1 1 1 ]
 33:  [ 4]   [ 9 5 3 1 ]
 34:  [ 4]   [ 9 7 1 1 ]
 35:  [ 2]   [ 9 9 ]
 36:  [ 8]   [ 11 1 1 1 1 1 1 1 ]
 37:  [ 6]   [ 11 3 1 1 1 1 ]
 38:  [ 4]   [ 11 3 3 1 ]
 39:  [ 4]   [ 11 5 1 1 ]
 40:  [ 2]   [ 11 7 ]
 41:  [ 6]   [ 13 1 1 1 1 1 ]
 42:  [ 4]   [ 13 3 1 1 ]
 43:  [ 2]   [ 13 5 ]
 44:  [ 4]   [ 15 1 1 1 ]
 45:  [ 2]   [ 15 3 ]
 46:  [ 2]   [ 17 1 ]
 ct=46
