// output of ./demo/comb/score-sequence-demo.cc:
// Description:
//% Score sequences: weakly increasing sequences a[0,1,...,n-1] where
//% sum(j=0..k, a[j]) >= k*(k+1)/2 and sum(j=0..n-1, a[j]) = (n-1)*n/2.
//% Lexicographic order.
//% See OEIS sequence A000571.

arg 1: 7 == n  [Length of sequences]  default=7
   1:  [ . 1 2 3 4 5 6 ]   0
   2:  [ . 1 2 3 5 5 5 ]   5
   3:  [ . 1 2 4 4 4 6 ]   4
   4:  [ . 1 2 4 4 5 5 ]   6
   5:  [ . 1 3 3 3 5 6 ]   3
   6:  [ . 1 3 3 4 4 6 ]   5
   7:  [ . 1 3 3 4 5 5 ]   6
   8:  [ . 1 3 4 4 4 5 ]   4
   9:  [ . 1 4 4 4 4 4 ]   3
  10:  [ . 2 2 2 4 5 6 ]   2
  11:  [ . 2 2 2 5 5 5 ]   5
  12:  [ . 2 2 3 3 5 6 ]   4
  13:  [ . 2 2 3 4 4 6 ]   5
  14:  [ . 2 2 3 4 5 5 ]   6
  15:  [ . 2 2 4 4 4 5 ]   4
  16:  [ . 2 3 3 3 4 6 ]   3
  17:  [ . 2 3 3 3 5 5 ]   6
  18:  [ . 2 3 3 4 4 5 ]   5
  19:  [ . 2 3 4 4 4 4 ]   4
  20:  [ . 3 3 3 3 3 6 ]   2
  21:  [ . 3 3 3 3 4 5 ]   6
  22:  [ . 3 3 3 4 4 4 ]   5
  23:  [ 1 1 1 3 4 5 6 ]   1
  24:  [ 1 1 1 3 5 5 5 ]   5
  25:  [ 1 1 1 4 4 4 6 ]   4
  26:  [ 1 1 1 4 4 5 5 ]   6
  27:  [ 1 1 2 2 4 5 6 ]   3
  28:  [ 1 1 2 2 5 5 5 ]   5
  29:  [ 1 1 2 3 3 5 6 ]   4
  30:  [ 1 1 2 3 4 4 6 ]   5
  31:  [ 1 1 2 3 4 5 5 ]   6
  32:  [ 1 1 2 4 4 4 5 ]   4
  33:  [ 1 1 3 3 3 4 6 ]   3
  34:  [ 1 1 3 3 3 5 5 ]   6
  35:  [ 1 1 3 3 4 4 5 ]   5
  36:  [ 1 1 3 4 4 4 4 ]   4
  37:  [ 1 2 2 2 3 5 6 ]   2
  38:  [ 1 2 2 2 4 4 6 ]   5
  39:  [ 1 2 2 2 4 5 5 ]   6
  40:  [ 1 2 2 3 3 4 6 ]   4
  41:  [ 1 2 2 3 3 5 5 ]   6
  42:  [ 1 2 2 3 4 4 5 ]   5
  43:  [ 1 2 2 4 4 4 4 ]   4
  44:  [ 1 2 3 3 3 3 6 ]   3
  45:  [ 1 2 3 3 3 4 5 ]   6
  46:  [ 1 2 3 3 4 4 4 ]   5
  47:  [ 1 3 3 3 3 3 5 ]   2
  48:  [ 1 3 3 3 3 4 4 ]   6
  49:  [ 2 2 2 2 2 5 6 ]   1
  50:  [ 2 2 2 2 3 4 6 ]   5
  51:  [ 2 2 2 2 3 5 5 ]   6
  52:  [ 2 2 2 2 4 4 5 ]   5
  53:  [ 2 2 2 3 3 3 6 ]   4
  54:  [ 2 2 2 3 3 4 5 ]   6
  55:  [ 2 2 2 3 4 4 4 ]   5
  56:  [ 2 2 3 3 3 3 5 ]   3
  57:  [ 2 2 3 3 3 4 4 ]   6
  58:  [ 2 3 3 3 3 3 4 ]   2
  59:  [ 3 3 3 3 3 3 3 ]   1
 ct=59
